target_id	length	eff_length	est_counts	tpm
rna28331	66	31	0	0
rna28332	63	28	2	14.2
rna28333	66	31	0	0
rna28334	63	28	0	0
rna28335	70	35	0	0
rna28336	69	34	2	11.6941
gene12361	1002	967	257	52.8352
rna28337	69	34	6	35.0824
rna28338	68	33	179.982	1084.26
rna28339	72	37	6	32.2379
gene12362	1566	1531	69719	9053
rna28340	70	35	1	5.68
gene12363	678	643	13843	4279.92
rna28341	69	34	1	5.84706
rna28342	69	34	5	29.2353
gene12364	159	124	8	12.8258
gene12365	681	646	227	69.857
gene12366	780	745	637	169.981
rna28343	66	31	2	12.8258
gene12367	354	319	30	18.6959
rna28344	67	32	4	24.85
rna28345	69	34	1	5.84706
rna28346	69	34	0	0
gene12368	1665	1630	1803	219.9
rna28347	68	33	1	6.02425
gene12369	1344	1309	2322	352.646
gene12370	264	229	18	15.6262
rna28348	78	43	0	0
rna28349	68	33	1	6.02425
gene12371	504	469	96	40.6926
gene12372	1152	1117	14025	2496.12
rna28350	67	32	0	0
gene12373	918	883	557	125.404
rna28351	71	36	11	60.7445
rna28352	1371	1336	178520	26564.2
rna28353	70	35	8	45.44
rna28354	786	751	3214	850.79
rna0	1447	1412	80.0543	11.2711
rna1	835	800	47.652	11.8415
rna2	1068	1033	14.1191	2.71722
rna3	4225	4190	869.06	41.2337
rna4	4189	4154	822.687	39.3717
rna5	4183	4148	39.7779	1.90643
rna6	4099	4064	249.509	12.2053
rna7	4256	4221	701.5	33.0391
rna8	1745	1710	343.62	39.9484
rna9	1848	1813	1871.38	205.202
rna10	1156	1121	391.299	69.3937
rna11	811	776	280.127	71.7646
rna12	2088	2053	200.427	19.4082
rna13	1866	1831	0	0
rna14	1817	1782	0	0
rna15	1761	1726	706.47	81.3709
rna16	1767	1732	188.985	21.6918
rna17	2330	2295	324.692	28.1258
rna18	1595	1560	502	63.9729
rna20	1635	1600	182.442	22.6684
rna19	2736	2701	150.321	11.064
rna21	1102	1067	20	3.72634
rna22	370	335	50.7277	30.1035
rna23	5269	5234	2133.36	81.0302
rna24	709	674	2	0.589911
rna25	1346	1311	219	33.2092
rna29	2262	2227	0	0
rna28	2319	2284	0	0
rna27	2080	2045	459	44.6207
rna26	2131	2096	0	0
rna31	2378	2343	0.520977	0.0442041
rna30	2797	2762	44.7018	3.21749
rna32	2705	2670	1436.78	106.978
rna34	670	635	0	0
rna33	519	484	189	77.6306
rna35	7543	7508	183	4.84555
rna48	2647	2612	737.693	56.1461
rna47	3942	3907	21.1186	1.07458
rna46	2870	2835	68.9386	4.83421
rna45	4248	4213	219.185	10.3428
rna44	4454	4419	21.5013	0.967292
rna43	3106	3071	107.045	6.92954
rna42	2769	2734	0	0
rna40	2940	2905	99.4492	6.80568
rna41	3144	3109	19.8534	1.26949
rna38	2843	2808	0	0
rna39	3009	2974	48.6732	3.25361
rna37	3214	3179	7.15286	0.447307
rna36	3212	3177	79.043	4.9461
rna49	84	49	0	0
rna50	23	24	0	0
rna51	89	54	0	0
rna53	78	43	0	0
rna52	23	24	0	0
rna54	24	25	0	0
rna55	79	44	0	0
rna56	23	24	0	0
rna57	100	65	0	0
rna58	21	22	0	0
rna59	100	65	0	0
rna60	23	24	0	0
rna61	100	65	0	0
rna62	19	20	0	0
rna63	2794	2759	223.831	16.1282
rna64	2208	2173	76.6414	7.01165
rna65	2212	2177	8.52731	0.7787
rna66	14474	14439	0	0
rna67	14423	14388	0	0
rna68	14444	14409	0	0
rna69	14417	14382	1.26301e-008	1.74584e-010
rna70	14453	14418	89.5888	1.23528
rna71	14407	14372	48.3883	0.66933
rna72	14356	14321	0	0
rna73	14266	14231	427.469	5.97153
rna74	14458	14423	3.23517e-007	4.45921e-009
rna75	14395	14360	738.105	10.2183
rna76	14316	14281	1.97058	0.0274317
