"BP_1_pol_S1_L001"	"O_N_1_S10_L001"	"O_N_2_S11_L001"	"O_N_3_S12_L001"	"X_1_pol_S13_L001"	"X_2_pol_S14_L001"	"X_3_pol_S15_L001"	"X_N_1_S16_L001"	"X_N_2_S17_L001"	"X_N_3_S18_L001"	"BP_2_pol_S2_L001"	"BP_3_pol_S3_L001"	"BP_N_1_S4_L001"	"BP_N_2_S5_L001"	"BP_N_3_S6_L001"	"Oci_1_pol_S7_L001"	"Oci_2_pol_S8_L001"	"Oci_3_pol_S9_L001"
"100049551"	8.4410651836068	8.81806218328766	8.50521634045894	8.3437926030985	8.67316331262589	8.58762932399323	9.00736555726187	8.27477363907995	8.55924142255375	8.64915266203141	8.62117039609597	8.79323098075769	8.65796363443931	8.6302930498881	8.6641492578948	8.64929947264588	8.32889545343923	8.17483764480006
"100049571"	17.7946863901735	18.0050501997441	17.6989523574277	18.0148128515345	18.2638472287028	18.1006039933286	18.1120971632216	18.198197270022	18.0076870019833	18.1996658430405	17.8756621548041	17.4377247687872	17.8785069304099	17.8497522110237	17.7487466218813	17.8156853438774	17.9708259996122	18.0256206944342
"100126690"	9.25037684855239	9.13916795268111	9.51042554945548	9.70101838794726	9.61963513619735	9.70722877164163	9.18505784885938	8.9043251046757	9.0227554951556	9.48187529987767	9.2962586222644	8.54330367136437	8.7668843855603	9.34299071001592	8.33381774987588	7.91555223863525	9.32309696659462	8.80883562734452
"100174948"	11.25318568957	11.1959954910089	11.2340591379515	11.3222570756709	11.1545970219889	11.3353319804124	11.2341964303594	11.2606558140886	11.2251556563046	11.2225703942833	11.2462276905558	11.0240559598642	11.3210462664479	11.2435319130464	11.131782886848	11.269554803977	11.3766708477211	11.4360015750687
"100187599"	8.51904753721565	8.03286280140526	8.4360556953423	8.42172508536108	8.36355351646227	8.48842261699152	8.41305592921785	8.3869098038359	8.56434525785549	8.52567076769982	8.43343838217172	8.52813307717026	8.25662098572711	8.20466513759713	8.57516843140573	8.50187200883535	8.36673301823662	8.36159240209716
"100187709"	9.88490234560501	9.61066119154709	9.92679781722829	9.90785770819784	9.77420909806237	9.96406969355171	9.76433067647768	9.92970994858901	9.79594718972192	9.79327186289515	9.82580105142485	9.81914035492349	9.83680099274814	9.89662878184159	9.8416433952791	9.86470306582949	9.84936036253634	9.85498637607604
"100188940"	11.5014763874463	11.3636733371492	11.5724025610704	11.600976029307	11.4076575781247	11.6247742368581	11.4198132656162	11.5223970722393	11.48867806734	11.4235701456307	11.5514675670568	11.5528363373537	11.502934476579	11.5270677478273	11.4808074789518	11.5805141965347	11.6081325745001	11.510642462879
"100188973"	10.4366104874728	10.4266729334561	10.4451878367685	10.4744604917342	10.3248087923531	10.3910655260643	10.3186897791132	10.438036357731	10.4432941540538	10.3652266032611	10.4860958172857	10.4243154808867	10.4590044193605	10.3678418462635	10.407798835363	10.554767968581	10.5219277867018	10.550708689382
"100191002"	11.610837135291	11.3084788344127	12.0027024030152	11.7355437610495	11.2963535125562	11.8375981773403	11.3525073044513	11.8906529573643	11.7491490271412	12.0120257212174	11.7168827084246	11.557161907723	11.4981192029327	11.8018470215023	12.0685076313559	11.8828980949105	11.4002069623895	11.2224972801198
"100216325"	12.4456896794315	12.7805027221101	12.9895184972457	12.8105127129814	12.5000996264882	12.5130906638771	12.2914954423279	12.4765699590548	12.6676043615503	12.7118674221942	13.0922562812969	12.7916564155371	12.6436590964084	12.929701831543	12.6590575675099	12.5534006357238	12.7679048662765	12.6434689027159
