target_id	length	eff_length	est_counts	tpm
rna28331	66	31	0	0
rna28332	63	28	0	0
rna28333	66	31	0	0
rna28334	63	28	0	0
rna28335	70	35	0	0
rna28336	69	34	3	20.8925
gene12361	1002	967	279	68.3167
rna28337	69	34	6	41.7851
rna28338	68	33	93.952	674.126
rna28339	72	37	9	57.5957
gene12362	1566	1531	64236	9934.65
rna28340	70	35	2	13.5304
gene12363	678	643	13516	4977.21
rna28341	69	34	4	27.8567
rna28342	69	34	1	6.96418
gene12364	159	124	2	3.81907
gene12365	681	646	248	90.9009
gene12366	780	745	662	210.402
rna28343	66	31	0	0
gene12367	354	319	25	18.5566
rna28344	67	32	2	14.7989
rna28345	69	34	1	6.96418
rna28346	69	34	0	0
gene12368	1665	1630	1673	243.029
rna28347	68	33	1	7.17522
gene12369	1344	1309	2784	503.592
gene12370	264	229	27	27.9176
rna28348	78	43	2	11.0131
rna28349	68	33	0	0
gene12371	504	469	83	41.9039
gene12372	1152	1117	12393	2627.07
rna28350	67	32	1	7.39944
gene12373	918	883	750	201.117
rna28351	71	36	7	46.041
rna28352	1371	1336	172309	30538.7
rna28353	70	35	5	33.826
rna28354	786	751	2562	807.771
rna0	1447	1412	17.831	2.99013
rna1	835	800	49.4317	14.6307
rna2	1068	1033	32.2383	7.38959
rna3	4225	4190	351.398	19.858
rna4	4189	4154	647.06	36.8831
rna5	4183	4148	601.919	34.3596
rna6	4099	4064	8.8599e-006	5.16208e-007
rna7	4256	4221	661.393	37.1016
rna8	1745	1710	817.488	113.197
rna9	1848	1813	908.512	118.654
rna10	1156	1121	269.21	56.8637
rna11	811	776	229.454	70.0138
rna12	2088	2053	234.946	27.0974
rna13	1866	1831	0	0
rna14	1817	1782	21.5135	2.8586
rna15	1761	1726	609.475	83.6112
rna16	1767	1732	28.2469	3.86164
rna17	2330	2295	225.154	23.2299
rna18	1595	1560	392	59.4991
rna20	1635	1600	148.563	21.9856
rna19	2736	2701	105.402	9.24001
rna21	1102	1067	15	3.32871
rna22	370	335	43.9635	31.0739
rna23	5269	5234	1459	66.0041
rna24	709	674	2	0.702618
rna25	1346	1311	190	34.3163
rna29	2262	2227	0	0
rna28	2319	2284	0	0
rna27	2080	2045	312	36.1252
rna26	2131	2096	0	0
rna31	2378	2343	2.83901e-008	2.86909e-009
rna30	2797	2762	86.3165	7.39979
rna32	2705	2670	1112.68	98.6755
rna34	670	635	0	0
rna33	519	484	120	58.7063
rna35	7543	7508	165	5.20366
rna48	2647	2612	811.781	73.5893
rna47	3942	3907	30.1698	1.82843
rna46	2870	2835	10.0846	0.842275
rna45	4248	4213	201.879	11.3462
rna44	4454	4419	3.58062	0.191859
rna43	3106	3071	106.893	8.24171
rna42	2769	2734	0	0
rna40	2940	2905	23.0542	1.87912
rna41	3144	3109	6.43969e-005	4.90449e-006
rna38	2843	2808	0	0
rna39	3009	2974	67.8072	5.39864
rna37	3214	3179	0.000161688	1.20431e-005
rna36	3212	3177	156.706	11.6793
rna49	84	49	0	0
rna50	23	24	0	0
rna51	89	54	0	0
rna53	78	43	0	0
rna52	23	24	0	0
rna54	24	25	0	0
rna55	79	44	0	0
rna56	23	24	0	0
rna57	100	65	0	0
rna58	21	22	0	0
rna59	100	65	0	0
rna60	23	24	0	0
rna61	100	65	0	0
rna62	19	20	0	0
rna63	2794	2759	158.999	13.6455
rna64	2208	2173	82.7747	9.0196
rna65	2212	2177	9.22668	1.00354
rna66	14474	14439	0	0
rna67	14423	14388	0	0
rna68	14444	14409	2.34849e-008	3.85926e-010
rna69	14417	14382	2.20067e-007	3.62314e-009
rna70	14453	14418	0	0
rna71	14407	14372	102.207	1.68389
rna72	14356	14321	0	0
rna73	14266	14231	276.457	4.59982
rna74	14458	14423	4.88674e-008	8.02256e-010
rna75	14395	14360	588.671	9.7066
rna76	14316	14281	16.4124	0.272121
rna77	14300	14265	408.11	6.77414
rna78	14089	14054	620.143	10.4482
rna83	6159	6124	64.8732	2.5083
rna81	4544	4509	101.833	5.34757
rna82	4606	4571	129.029	6.68382
rna80	4421	4386	1234.27	66.6329
rna79	4544	4509	0	0
rna84	1474	1439	18.344	3.01844
rna85	4011	3976	682.634	40.6528
rna86	4332	4297	17.9679	0.990104
rna87	5550	5515	0	0
rna88	5530	5495	61.5696	2.65306
rna89	4942	4907	1063.91	51.3378
rna91	2164	2129	0	0
rna92	88	53	0	0
rna93	23	24	0	0
rna90	4161	4126	65.6101	3.76522
rna94	1791	1756	0	0
rna95	7798	7763	1023.09	31.2057
rna96	1263	1228	94.3356	18.1897
rna97	1507	1472	2.01377	0.32393
rna98	147	112	18.3961	38.8917
rna99	1089	1054	10	2.24651
rna100	3465	3430	798.43	55.1178
rna101	3014	2979	689.57	54.8096
rna102	2233	2198	1842.82	198.52
rna103	556	521	1	0.454476
rna104	937	902	3	0.787524
rna106	2689	2654	203.908	18.1921
rna105	2799	2764	88.692	7.59793
rna107	4147	4112	370.215	21.3182
rna108	3811	3776	121.785	7.63681
rna109	135	100	1	2.36782
rna110	21	22	0	0
rna113	1684	1649	645.021	92.6195
rna112	1416	1381	216.637	37.144
rna111	1532	1497	389.342	61.5826
rna114	1231	1196	192	38.0119
rna118	2623	2588	14.8871	1.36206
rna117	2429	2394	93.4648	9.24428
rna115	2665	2630	735.648	66.2313
rna116	2757	2722	2.31867e-006	2.01697e-007
rna119	443	408	33	19.1515
rna120	2938	2903	599.404	48.8902
rna121	3327	3292	0	0
rna122	3374	3339	367.596	26.0678
