"Phero_genes"	"Food_genes"	"interxn_genes"	"allDEG"	"Food_down"	"Food_up"	"EBO_down"	"EBO_up"	"BP_up"	"BP_down"	"BPvEBO_up"	"BPvEBO_down"	"background"
"551165"	"725325"	"410893"	"551165"	"102656661"	"412808"	"409602"					"102656661"	"100576165"
"409638"	"552277"	"113218744"	"409638"	"104794352"	"412810"	"409638"					"104794352"	"100576169"
"410227"	"411272"	"113219336"	"410227"	"107963970"	"413370"	"409816"					"107963970"	"100576172"
"724993"	"100576326"	"408989"	"724993"	"107964020"	"413407"	"409852"					"107964020"	"100576174"
"100577132"	"107964742"	"550804"	"100577132"	"107964035"	"413676"	"409921"					"107964035"	"100576176"
"413168"	"552832"	"725343"	"413168"	"107964152"	"413683"	"410092"					"107964152"	"100576182"
"409555"	"107965562"	"725038"	"409555"	"107964742"	"414037"	"410236"					"107964742"	"100576185"
"406091"	"100578016"	"551233"	"406091"	"107965038"	"551053"	"410282"					"107965038"	"100576186"
"727161"	"406094"	"409061"	"727161"	"107965165"	"552095"	"410288"					"107965165"	"100576187"
"724983"	"550804"	"551837"	"724983"	"107965272"	"552139"	"410380"					"107965272"	"100576189"
"102655291"	"409666"	"725489"	"102655291"	"107965562"	"552154"	"410479"					"107965562"	"100576193"
"411050"	"410626"	"727007"	"411050"	"107966053"	"552402"	"410489"					"107966053"	"100576195"
"100578614"	"725031"	"724552"	"100578614"	"113218518"	"552417"	"410567"					"113218518"	"100576196"
"725281"	"100576895"	"408361"	"725281"	"113218532"	"724126"	"410626"					"113218532"	"100576215"
"724315"	"409816"	"726625"	"724315"	"113218716"	"724344"	"410788"					"113218716"	"100576216"
"726415"	"551765"	"725382"	"726415"	"113218744"	"724536"	"410829"					"113218744"	"100576221"
"410534"	"724907"	"552447"	"410534"	"113218789"	"724619"	"410837"					"113218789"	"100576223"
"411916"	"726251"	"406149"	"411916"	"113218956"	"724915"	"411207"					"113218956"	"100576226"
"724150"	"725462"	"408807"	"724150"	"113218991"	"725164"	"411272"					"113218991"	"100576227"
"412057"	"551582"	"100576961"	"412057"	"113219195"	"725388"	"411563"					"113219195"	"100576230"
"409905"	"408989"	"100576758"	"409905"	"113219297"	"725924"	"411691"					"113219297"	"100576233"
"725119"	"410960"	"409715"	"725119"	"113219336"	"725938"	"411813"					"113219336"	"100576234"
"552767"	"410893"	"412484"	"552767"	"406090"	"726223"	"411822"					"406090"	"100576242"
"100577696"	"100576478"	"102655905"	"100577696"	"406093"	"726373"	"411863"					"406093"	"100576247"
"100577754"	"411983"	"551898"	"100577754"	"406094"	"726392"	"411983"					"406094"	"100576249"
"551720"	"410282"	"409227"	"551720"	"406116"	"726445"	"412069"					"406116"	"100576251"
"410390"	"551241"	"725757"	"410390"	"406133"	"726710"	"412101"					"406133"	"100576258"
"552239"	"413560"	"724915"	"552239"	"406146"	"726742"	"412163"					"406146"	"100576261"
"551122"	"102655838"	"100576247"	"551122"	"406149"	"727479"	"412166"					"406149"	"100576263"
"107965179"	"725008"	"409851"	"107965179"	"406152"		"412209"					"406152"	"100576265"
"408384"	"102655291"	"724126"	"408384"	"408288"		"412231"					"408288"	"100576266"
"551599"	"412166"	"413356"	"551599"	"408291"		"412815"					"408291"	"100576270"
"100577202"	"113218532"	"726431"	"100577202"	"408361"		"412859"					"408361"	"100576271"
"100578952"	"100577607"	"410905"	"100578952"	"408444"		"413190"					"408444"	"100576272"
"409166"	"408544"	"551531"	"409166"	"408453"		"413785"					"408453"	"100576274"
"100577386"	"725146"	"102656585"	"100577386"	"408455"		"413789"					"408455"	"100576277"
"726631"	"551428"	"411047"	"726631"	"408456"		"544670"					"408456"	"100576279"
"107964221"	"100577112"	"408818"	"107964221"	"408470"		"550686"					"408470"	"100576283"
"727634"	"113218744"	"412667"	"727634"	"408474"		"550785"					"408474"	"100576286"
"408796"	"100577346"	"552095"	"408796"	"408525"		"550791"					"408525"	"100576288"
"726002"	"411609"	"552402"	"726002"	"408544"		"550804"					"408544"	"100576289"
"411125"	"100578341"	"411167"	"411125"	"408572"		"550886"					"408572"	"100576290"
"410710"	"408444"	"409703"	"410710"	"408732"		"551167"					"408732"	"100576291"
"724851"	"100576508"	"413785"	"724851"	"408864"		"551223"					"408864"	"100576296"
"102655814"	"552512"	"724251"	"102655814"	"408965"		"551233"					"408965"	"100576298"
"409167"	"102653713"	"552070"	"409167"	"408989"		"551241"					"408989"	"100576300"
"409781"	"724776"	"100576151"	"409781"	"409025"		"551280"					"409025"	"100576307"
"409921"	"113218956"	"408291"	"409921"	"409061"		"551643"					"409061"	"100576321"
"410577"	"408453"	"102655188"	"410577"	"409095"		"551758"					"409095"	"100576326"
"408446"	"408474"	"408572"	"408446"	"409124"		"551765"					"409124"	"100576333"
"409650"	"411691"	"551379"	"409650"	"409228"		"551837"					"409228"	"100576336"
"409452"	"409095"	"552493"	"409452"	"409368"		"551950"					"409368"	"100576337"
"410567"	"551579"	"411863"	"410567"	"409469"		"552286"					"409469"	"100576346"
"727101"	"409602"	"100576924"	"727101"	"409602"		"552377"					"409602"	"100576348"
"100577530"	"727254"	"725258"	"100577530"	"409666"		"552447"					"409666"	"100576355"
"412069"	"113219336"	"102655238"	"412069"	"409816"		"552712"					"409816"	"100576359"
"726210"	"551806"	"102656661"	"726210"	"409861"		"724211"					"409861"	"100576366"
"409932"	"102654896"	"409228"	"409932"	"410059"		"724235"					"410059"	"100576369"
"408953"	"100577890"	"411452"	"408953"	"410228"		"724293"					"410228"	"100576373"
"410271"	"552712"	"100578816"	"410271"	"410282"		"724552"					"410282"	"100576374"
"409640"	"100578366"	"411983"	"409640"	"410288"		"724583"					"410288"	"100576378"
"726423"	"410228"	"411691"	"726423"	"410479"		"724865"					"410479"	"100576381"
"100578051"	"102654666"	"113219416"	"100578051"	"410484"		"724907"					"410484"	"100576383"
"409736"	"107965272"	"408525"	"409736"	"410517"		"724919"					"410517"	"100576384"
"410896"	"726247"	"724583"	"410896"	"410583"		"724951"					"410583"	"100576392"
"408871"	"100576307"	"100576508"	"408871"	"410621"		"724971"					"410621"	"100576395"
"409712"	"725776"	"411846"	"409712"	"410626"		"724993"					"410626"	"100576400"
"408742"	"102654792"	"100576478"	"408742"	"410788"		"725026"					"410788"	"100576401"
"100578515"	"100578173"	"725325"	"100578515"	"410824"		"725031"					"410824"	"100576402"
"408572"	"410788"	"408453"	"408572"	"410828"		"725038"					"410828"	"100576404"
"100577002"	"410583"	"107966053"	"100577002"	"410829"		"725098"					"410829"	"100576405"
"551280"	"724390"	"724907"	"551280"	"410837"		"725146"					"410837"	"100576411"
"409203"	"726887"	"100577198"	"409203"	"410893"		"725258"					"410893"	"100576412"
"410278"	"411846"	"724951"	"410278"	"410960"		"725290"					"410960"	"100576413"
"725290"	"725500"	"725026"	"725290"	"411100"		"725325"					"411100"	"100576418"
"406152"	"411207"	"724275"	"406152"	"411159"		"725343"					"411159"	"100576421"
"413025"	"102654625"	"410271"	"413025"	"411207"		"725489"					"411207"	"100576422"
"550998"	"412663"	"408329"	"550998"	"411253"		"725578"					"411253"	"100576423"
"100578121"	"100577693"	"413789"	"100578121"	"411272"		"726210"					"411272"	"100576425"
"551053"	"410829"	"408470"	"551053"	"411303"		"726251"					"411303"	"100576428"
"413906"	"412163"	"102655332"	"413906"	"411452"		"726441"					"411452"	"100576432"
"678511"	"551077"	"411317"	"678511"	"411609"		"726690"					"411609"	"100576433"
"413816"	"100576277"	"724765"	"413816"	"411691"		"726798"					"411691"	"100576435"
"409786"	"724378"		"409786"	"411813"		"726860"					"411813"	"100576436"
"412810"	"107965165"		"412810"	"411846"		"727007"					"411846"	"100576438"
"100578226"	"408455"		"100578226"	"411863"		"727101"					"411863"	"100576439"
"413789"	"410288"		"413789"	"411983"		"727254"					"411983"	"100576446"
"724211"	"413749"		"724211"	"412163"		"768250"					"412163"	"100576449"
"725126"	"409025"		"725126"	"412166"							"412166"	"100576452"
"107964820"	"411159"		"107964820"	"412304"							"412304"	"100576454"
"411563"	"726361"		"411563"	"412602"							"412602"	"100576457"
"100576734"	"408572"		"100576734"	"412663"							"412663"	"100576461"
"724293"	"100578929"		"724293"	"412694"							"412694"	"100576467"
"102653894"	"100578361"		"102653894"	"412859"							"412859"	"100576471"
"410997"	"724583"		"410997"	"413000"							"413000"	"100576472"
"408302"	"100577772"		"408302"	"413186"							"413186"	"100576478"
"726375"	"552286"		"726375"	"413560"							"413560"	"100576482"
"100576547"	"408864"		"100576547"	"413749"							"413749"	"100576484"
"412209"	"726205"		"412209"	"413785"							"413785"	"100576487"
"412231"	"100576681"		"412231"	"413867"							"413867"	"100576488"
"408622"	"408525"		"408622"	"413997"							"413997"	"100576492"
"551167"	"726126"		"551167"	"550659"							"550659"	"100576497"
"410780"	"107965038"		"410780"	"550671"							"550671"	"100576498"
"408868"	"411452"		"408868"	"550686"							"550686"	"100576502"
"102655332"	"100578816"		"102655332"	"550804"							"550804"	"100576503"
"725922"	"100577699"		"725922"	"550956"							"550956"	"100576504"
"408478"	"726814"		"408478"	"551005"							"551005"	"100576506"
"408888"	"408456"		"408888"	"551077"							"551077"	"100576508"
"412540"	"551850"		"412540"	"551233"							"551233"	"100576512"
"408456"	"411813"		"408456"	"551241"							"551241"	"100576514"
"100577717"	"552738"		"100577717"	"551401"							"551401"	"100576515"
"411317"	"411253"		"411317"	"551428"							"551428"	"100576519"
"552281"	"409228"		"552281"	"551552"							"551552"	"100576527"
"408299"	"413000"		"408299"	"551553"							"551553"	"100576528"
"408817"	"100577017"		"408817"	"551560"							"551560"	"100576530"
"413190"	"550671"		"413190"	"551579"							"551579"	"100576531"
"406094"	"408470"		"406094"	"551582"							"551582"	"100576532"
"410829"	"113219297"		"410829"	"551678"							"551678"	"100576534"
"408650"	"725606"		"408650"	"551710"							"551710"	"100576540"
"410489"	"551799"		"410489"	"551765"							"551765"	"100576542"
"408474"	"725688"		"408474"	"551799"							"551799"	"100576543"
"726786"	"107964152"		"726786"	"551806"							"551806"	"100576544"
"550671"	"406146"		"550671"	"551837"							"551837"	"100576547"
"410465"	"410837"		"410465"	"551850"							"551850"	"100576552"
"100578733"	"725258"		"100578733"	"551935"							"551935"	"100576554"
"408470"	"100578464"		"408470"	"552028"							"552028"	"100576559"
"726040"	"726260"		"726040"	"552277"							"552277"	"100576563"
"724580"	"100578678"		"724580"	"552286"							"552286"	"100576565"
"726251"	"552419"		"726251"	"552318"							"552318"	"100576569"
"410380"	"409861"		"410380"	"552391"							"552391"	"100576571"
"410626"	"100577192"		"410626"	"552419"							"552419"	"100576572"
"102655181"	"102655465"		"102655181"	"552447"							"552447"	"100576585"
"100576271"	"726860"		"100576271"	"552493"							"552493"	"100576586"
"724694"	"411303"		"724694"	"552503"							"552503"	"100576590"
"411706"	"408732"		"411706"	"552512"							"552512"	"100576591"
"726441"	"102653945"		"726441"	"552546"							"552546"	"100576592"
"408544"	"102654095"		"408544"	"552712"							"552712"	"100576597"
"408395"	"725922"		"408395"	"552738"							"552738"	"100576600"
"409852"	"552766"		"409852"	"552766"							"552766"	"100576602"
"409801"	"725074"		"409801"	"552780"							"552780"	"100576603"
"406155"	"552318"		"406155"	"552799"							"552799"	"100576606"
"726798"	"100576657"		"726798"	"552811"							"552811"	"100576608"
"409173"	"551678"		"409173"	"552832"							"552832"	"100576609"
"411564"	"725245"		"411564"	"724188"							"724188"	"100576610"
"409602"	"411863"		"409602"	"724208"							"724208"	"100576612"
"409740"	"550686"		"409740"	"724378"							"724378"	"100576614"
"449496"	"552780"		"449496"	"724390"							"724390"	"100576615"
"100577883"	"412694"		"100577883"	"724421"							"724421"	"100576617"
"552447"	"100577053"		"552447"	"724552"							"724552"	"100576619"
"725026"	"408291"		"725026"	"724583"							"724583"	"100576620"
"100576118"	"102656661"		"100576118"	"724756"							"724756"	"100576621"
"724865"	"412859"		"724865"	"724776"							"724776"	"100576623"
"768250"	"410517"		"768250"	"724865"							"724865"	"100576625"
"550791"	"102655779"		"550791"	"724907"							"724907"	"100576640"
"104794352"	"412304"		"104794352"	"724951"							"724951"	"100576645"
"551765"	"408965"		"551765"	"725008"							"725008"	"100576646"
"409816"	"552811"		"409816"	"725026"							"725026"	"100576647"
"410092"	"413186"		"410092"	"725031"							"725031"	"100576649"
"725038"	"100577980"		"725038"	"725038"							"725038"	"100576657"
"410236"	"725414"		"410236"	"725074"							"725074"	"100576660"
"410788"	"552028"		"410788"	"725146"							"725146"	"100576661"
"409228"	"726818"		"409228"	"725202"							"725202"	"100576663"
"552712"	"551553"		"552712"	"725245"							"725245"	"100576666"
"551950"	"406152"		"551950"	"725258"							"725258"	"100576667"
"100315677"	"724756"		"100315677"	"725274"							"725274"	"100576669"
"100577504"	"409124"		"100577504"	"725305"							"725305"	"100576671"
"100576508"	"100578113"		"100576508"	"725325"							"725325"	"100576679"
"412815"	"552799"		"412815"	"725343"							"725343"	"100576681"
"552286"	"413997"		"552286"	"725382"							"725382"	"100576683"
"100578659"	"100578121"		"100578659"	"725414"							"725414"	"100576687"
"412101"	"551005"		"412101"	"725462"							"725462"	"100576690"
"726690"	"411100"		"726690"	"725483"							"725483"	"100576696"
"100577693"	"102655243"		"100577693"	"725489"							"725489"	"100576699"
"551758"	"100578467"		"551758"	"725500"							"725500"	"100576700"
"410288"	"412602"		"410288"	"725606"							"725606"	"100576703"
"412163"	"413867"		"412163"	"725688"							"725688"	"100576706"
"100577192"	"725483"		"100577192"	"725776"							"725776"	"100576708"
"551223"	"409368"		"551223"	"725922"							"725922"	"100576709"
"408551"	"413785"		"408551"	"726126"							"726126"	"100576717"
"406067"	"113218716"		"406067"	"726205"							"726205"	"100576718"
"550686"	"552493"		"550686"	"726247"							"726247"	"100576722"
"412859"	"552503"		"412859"	"726251"							"726251"	"100576726"
"100576657"	"107964035"		"100576657"	"726260"							"726260"	"100576732"
"551643"	"113218991"		"551643"	"726361"							"726361"	"100576733"
"411207"	"724188"		"411207"	"726586"							"726586"	"100576734"
"408348"	"726886"		"408348"	"726625"							"726625"	"100576735"
"100642173"	"410059"		"100642173"	"726750"							"726750"	"100576736"
"724919"	"408288"		"724919"	"726803"							"726803"	"100576737"
