,Phero_genes,Food_genes,interxn_genes,allDEG,Food_down,Food_up,EBO_down,EBO_up,BP_up,BP_down,background
90,726047,725038,409619,726047,406133,551409,410621,,,,100576227
91,411050,410734,725382,411050,406146,551501,410626,,,,100576233
92,100578614,410484,552447,100578614,406149,551513,410788,,,,100576236
93,724146,551233,551268,724146,406152,551658,410829,,,,100576242
94,725281,410824,406149,725281,408288,551930,410837,,,,100576246
95,724315,100578442,107964975,724315,408291,552064,411207,,,,100576247
96,726415,100576745,408807,726415,408353,552095,411272,,,,100576248
97,410534,727546,100576961,410534,408361,552139,411406,,,,100576249
98,412839,725832,100576758,412839,408383,552154,411533,,,,100576251
99,411916,100577805,409715,411916,408390,552235,411563,,,,100576258
100,724150,113218789,412484,724150,408444,552313,411622,,,,100576260
101,725792,100578084,107964212,725792,408453,552402,411691,,,,100576261
102,725758,724208,102655905,725758,408455,552417,411813,,,,100576262
103,412057,724654,551898,412057,408456,552573,411822,,,,100576263
104,409905,411894,725799,409905,408470,724126,411863,,,,100576265
105,725119,409061,551214,725119,408474,724160,411983,,,,100576266
106,552767,113219221,409227,552767,408525,724344,412069,,,,100576270
107,100577696,725720,725757,100577696,408544,724536,412101,,,,100576271
108,725757,725343,100576247,725757,408572,724546,412163,,,,100576272
109,551720,726286,724915,551720,408603,724591,412166,,,,100576273
110,100577754,724777,409851,100577754,408622,724619,412209,,,,100576274
111,410390,724421,724126,410390,408732,724831,412231,,,,100576279
112,724872,410621,410083,724872,408864,724915,412475,,,,100576282
113,552239,410828,413356,552239,408904,725164,412515,,,,100576284
114,726277,107966053,726431,726277,408965,725388,412694,,,,100576286
115,726817,100577440,411935,726817,408985,725480,412774,,,,100576288
116,551122,100577918,410905,551122,408989,725660,412815,,,,100576289
117,107965179,552546,412808,107965179,409025,725668,412859,,,,100576290
118,552531,100576895,551531,552531,409042,725754,412925,,,,100576291
119,413103,551496,102656585,413103,409061,725924,413190,,,,100576293
120,551599,725325,408818,551599,409095,725938,413371,,,,100576296
121,100577202,552277,412667,100577202,409124,725941,413551,,,,100576298
122,107964998,411272,413407,107964998,409228,725988,413679,,,,100576300
123,100578952,410521,552095,100578952,409306,726223,413785,,,,100576304
124,409166,100576326,552402,409166,409368,726307,413789,,,,100576307
125,724731,552005,726445,724731,409469,726370,413868,,,,100576320
126,726513,552832,409924,726513,409490,726373,413995,,,,100576321
127,100577386,413995,411805,100577386,409602,726392,544670,,,,100576326
128,413133,107965562,411167,413133,409619,726412,550686,,,,100576330
129,726631,726228,409703,726631,409666,726445,550785,,,,100576333
130,100577735,406094,413785,100577735,409802,726710,550791,,,,100576336
131,409499,726165,724795,409499,409816,726742,550804,,,,100576337
132,413592,724153,724251,413592,409861,726997,550886,,,,100576341
133,411072,550804,552070,411072,410059,727479,551077,,,,100576346
134,724370,411622,100576151,724370,410092,727639,551094,,,,100576348
135,409056,409666,408291,409056,410228,,551167,,,,100576349
136,727634,410626,102655188,727634,410236,,551223,,,,100576355
137,412636,725031,408572,412636,410282,,551233,,,,100576359
138,411985,100576508,551379,411985,410288,,551241,,,,100576366
139,102653839,724640,107964133,102653839,410399,,551280,,,,100576369
140,408796,409816,552493,408796,410479,,551428,,,,100576370
141,726002,406065,100576924,726002,410484,,551643,,,,100576373
142,411125,551765,411863,411125,410489,,551758,,,,100576374
143,410766,724907,725258,410766,410492,,551765,,,,100576378
144,411105,725462,102655238,411105,410517,,551806,,,,100576381
145,410710,410399,102656661,410710,410521,,551837,,,,100576382
146,409713,100578263,411207,409713,410583,,551879,,,,100576383
147,113218521,551582,412859,113218521,410603,,551950,,,,100576384
148,413785,408989,100642173,413785,410621,,552100,,,,100576387
149,724851,410960,409228,724851,410624,,552286,,,,100576392
150,409016,412475,408670,409016,410626,,552293,,,,100576395
151,551080,410893,411452,551080,410734,,552377,,,,100576400
152,102655814,552459,100578816,102655814,410743,,552447,,,,100576401
153,409167,411983,411983,409167,410751,,552712,,,,100576402
154,409781,410282,102654384,409781,410788,,724153,,,,100576404
155,409897,552561,411691,409897,410824,,724211,,,,100576405
156,409921,551241,724145,409921,410828,,724235,,,,100576410
157,411315,413560,113219416,411315,410829,,724286,,,,100576411
158,410577,102655838,408525,410577,410837,,724293,,,,100576412
159,408446,725154,724583,408446,410893,,724552,,,,100576413
160,551744,725008,725031,551744,410960,,724583,,,,100576414
161,409650,412166,102655838,409650,411100,,724608,,,,100576418
162,409701,113218532,725334,409701,411159,,724640,,,,100576421
163,409452,100577607,100577456,409452,411207,,724717,,,,100576422
164,410567,100576773,411846,410567,411253,,724765,,,,100576425
165,727101,408544,409095,727101,411272,,724779,,,,100576428
166,408981,725146,725325,408981,411303,,724847,,,,100576432
167,100577530,551428,408453,100577530,411387,,724865,,,,100576433
168,725844,100577112,412475,725844,411452,,724899,,,,100576434
169,412069,727037,107966053,412069,411609,,724907,,,,100576435
170,551028,100577346,724907,551028,411622,,724919,,,,100576436
171,725754,552100,725997,725754,411691,,724951,,,,100576438
172,408421,100576270,100577198,408421,411699,,724971,,,,100576439
173,726210,100578524,725026,726210,411813,,724993,,,,100576446
174,409932,100577017,552478,409932,411846,,725026,,,,100576447
175,102654166,411609,551879,102654166,411863,,725031,,,,100576449
176,725784,100578341,100576135,725784,411894,,725038,,,,100576453
177,408953,408444,724275,408953,411978,,725098,,,,100576454
178,410271,727254,724851,410271,411983,,725146,,,,100576457
179,408859,550677,406152,408859,412163,,725204,,,,100576458
180,409640,409490,410271,409640,412166,,725258,,,,100576461
181,726423,552512,724120,726423,412304,,725290,,,,100576462
182,725926,107964024,408742,725926,412475,,725325,,,,100576467
183,100576249,411387,408329,100576249,412602,,725343,,,,100576471
184,100578051,412788,413789,100578051,412663,,725382,,,,100576472
185,409736,724776,100578665,409736,412694,,725489,,,,100576476
186,408697,113218956,410975,408697,412763,,725578,,,,100576480
187,408871,408453,726040,408871,412788,,725720,,,,100576482
188,410896,408474,409697,410896,412827,,725997,,,,100576484
189,409712,411691,408470,409712,412859,,726210,,,,100576487
190,410179,102656088,413350,410179,413000,,726228,,,,100576488
191,413906,409095,413583,413906,413112,,726251,,,,100576492
192,100578515,412827,725775,100578515,413186,,726423,,,,100576497
193,412859,551579,409045,412859,413264,,726441,,,,100576498
194,408572,409602,411317,408572,413560,,726690,,,,100576502
195,100577002,410751,411301,100577002,413679,,726750,,,,100576504
196,551280,551806,724765,551280,413749,,726798,,,,100576505
197,409203,552712,102653658,409203,413763,,726860,,,,100576506
198,408742,726970,724640,408742,413785,,726887,,,,100576508
199,410278,410228,113219358,410278,413789,,726981,,,,100576512
200,725290,552728,,725290,413867,,727007,,,,100576514
201,409109,100576307,,409109,413868,,727101,,,,100576515
202,406152,726247,,406152,413995,,727254,,,,100576519
203,413025,725776,,413025,413997,,768250,,,,100576522
204,550998,410788,,550998,550659,,,,,,100576527
205,100578121,410092,,100578121,550671,,,,,,100576528
206,725126,410583,,725126,550677,,,,,,100576529
207,551053,726887,,551053,550686,,,,,,100576530
208,408551,412163,,408551,550804,,,,,,100576531
209,678511,724390,,678511,550956,,,,,,100576532
210,413816,411846,,413816,551005,,,,,,100576534
211,409786,726733,,409786,551077,,,,,,100576540
212,100578226,725500,,100578226,551094,,,,,,100576542
213,413789,411207,,413789,551125,,,,,,100576543
214,724211,412663,,724211,551232,,,,,,100576544
215,102656548,100577693,,102656548,551233,,,,,,100576547
216,552257,410829,,552257,551241,,,,,,100576552
217,411563,410236,,411563,551401,,,,,,100576554
218,408937,551077,,408937,551428,,,,,,100576555
219,100576734,724378,,100576734,551496,,,,,,100576559
220,724293,410492,,724293,551552,,,,,,100576563
221,102653894,408455,,102653894,551553,,,,,,100576565
222,410997,410288,,410997,551559,,,,,,100576568
223,408302,408390,,408302,551560,,,,,,100576569
224,102653655,413749,,102653655,551579,,,,,,100576571
225,726375,409025,,726375,551582,,,,,,100576572
226,726690,411159,,726690,551587,,,,,,100576584
227,412209,726361,,412209,551678,,,,,,100576586
228,412231,408572,,412231,551710,,,,,,100576590
229,100576547,100578929,,100576547,551719,,,,,,100576591
230,408622,724583,,408622,551765,,,,,,100576592
231,551167,552286,,551167,551806,,,,,,100576597
232,410780,408864,,410780,551837,,,,,,100576600
233,408868,726205,,408868,551850,,,,,,100576603
234,102655332,100576681,,102655332,551879,,,,,,100576606
235,725922,102656008,,725922,551935,,,,,,100576608
236,408478,408525,,408478,551950,,,,,,100576610
237,408888,726126,,408888,552005,,,,,,100576612
238,412540,107965038,,412540,552028,,,,,,100576614
239,408456,411452,,408456,552100,,,,,,100576615
240,100577717,100578816,,100577717,552251,,,,,,100576617
241,409487,100577699,,409487,552277,,,,,,100576619
242,411317,410489,,411317,552286,,,,,,100576620
243,552281,408985,,552281,552295,,,,,,100576621
244,408299,726814,,408299,552318,,,,,,100576623
245,725710,408456,,725710,552391,,,,,,100576625
246,408817,551850,,408817,552418,,,,,,100576637
247,413190,411813,,413190,552419,,,,,,100576638
248,406094,411253,,406094,552446,,,,,,100576640
249,410829,552738,,410829,552447,,,,,,100576645
250,408650,409228,,408650,552459,,,,,,100576646
251,410489,413000,,410489,552478,,,,,,100576647
252,100576307,551232,,100576307,552493,,,,,,100576649
253,408474,550671,,408474,552503,,,,,,100576660
254,413551,552446,,413551,552512,,,,,,100576662
255,102656070,408470,,102656070,552523,,,,,,100576666
256,725008,725606,,725008,552546,,,,,,100576667
257,726786,551950,,726786,552561,,,,,,100576669
258,550671,726611,,550671,552602,,,,,,100576671
259,410465,725688,,410465,552712,,,,,,100576677
260,100578733,406146,,100578733,552728,,,,,,100576679
261,408470,410837,,408470,552738,,,,,,100576681
262,409490,725258,,409490,552741,,,,,,100576683
263,409677,102656070,,409677,552766,,,,,,100576687
264,724580,100578249,,724580,552778,,,,,,100576688
265,410380,726260,,410380,552780,,,,,,100576690
266,410626,552419,,410626,552799,,,,,,100576700
267,726251,409861,,726251,552811,,,,,,100576702
268,100576271,100577192,,100576271,552829,,,,,,100576703
269,724694,726860,,724694,552832,,,,,,100576705
270,411706,411303,,411706,677665,,,,,,100576706
271,726441,408732,,726441,677671,,,,,,100576708
272,408544,725922,,408544,677673,,,,,,100576709
273,408395,552766,,408395,677677,,,,,,100576714
274,409852,725288,,409852,724153,,,,,,100576717
275,409801,100578770,,409801,724188,,,,,,100576718
276,406155,552318,,406155,724208,,,,,,100576722
277,726798,725074,,726798,724239,,,,,,100576730
278,409173,551678,,409173,724330,,,,,,100576733
279,413346,725245,,413346,724378,,,,,,100576734
280,413833,411863,,413833,724390,,,,,,100576735
281,411564,410743,,411564,724421,,,,,,100576736
282,551094,550686,,551094,724552,,,,,,100576737
283,409602,552780,,409602,724583,,,,,,100576738
284,409740,551125,,409740,724640,,,,,,100576740
285,412515,412694,,412515,724654,,,,,,100576741
286,449496,100577053,,449496,724756,,,,,,100576742
287,100577883,408291,,100577883,724776,,,,,,100576744
288,725215,406127,,725215,724777,,,,,,100576745
289,107964258,102656661,,107964258,724838,,,,,,100576746
290,100576797,107965225,,100576797,724865,,,,,,100576747
291,406088,412859,,406088,724907,,,,,,100576748
292,113219358,410517,,113219358,724919,,,,,,100576749
293,726981,412304,,726981,724951,,,,,,100576754
294,102655153,408965,,102655153,725008,,,,,,100576758
295,551879,552811,,551879,725026,,,,,,100576759
296,724717,413868,,724717,725031,,,,,,100576760
297,725026,100577980,,725026,725038,,,,,,100576761
298,410521,552028,,410521,725074,,,,,,100576765
299,726228,413186,,726228,725114,,,,,,100576767
300,413679,725414,,413679,725146,,,,,,100576768
301,100576118,726818,,100576118,725154,,,,,,100576770
302,725382,100576855,,725382,725202,,,,,,100576773
303,409096,551553,,409096,725215,,,,,,100576774
304,102656583,406152,,102656583,725245,,,,,,100576775
305,724865,410624,,724865,725258,,,,,,100576779
306,725204,724756,,725204,725274,,,,,,100576781
307,408383,409124,,408383,725288,,,,,,100576783
308,768250,100578113,,768250,725305,,,,,,100576784
309,726750,552295,,726750,725325,,,,,,100576789
310,550791,552799,,550791,725343,,,,,,100576794
311,409937,413997,,409937,725382,,,,,,100576795
312,724608,100578121,,724608,725414,,,,,,100576796
313,409042,551005,,409042,725462,,,,,,100576797
314,412925,408622,,412925,725483,,,,,,100576799
315,413995,411100,,413995,725489,,,,,,100576801
316,411622,100578467,,411622,725500,,,,,,100576803
317,100577440,102655243,,100577440,725606,,,,,,100576805
318,102654173,412602,,102654173,725688,,,,,,100576812
319,551765,413867,,551765,725720,,,,,,100576814
320,724640,725483,,724640,725776,,,,,,100576816
321,412475,409368,,412475,725817,,,,,,100576817
322,410092,413785,,410092,725832,,,,,,100576818
323,551428,113218716,,551428,725922,,,,,,100576819
324,725038,552493,,725038,725997,,,,,,100576820
325,410621,551559,,410621,726126,,,,,,100576826
326,410236,552503,,410236,726165,,,,,,100576828
327,409821,100576924,,409821,726205,,,,,,100576829
328,552100,113218991,,552100,726228,,,,,,100576831
329,410788,724188,,410788,726247,,,,,,100576836
330,409228,409802,,409228,726260,,,,,,100576838
331,102654066,726886,,102654066,726286,,,,,,100576839
332,551950,100577213,,551950,726318,,,,,,100576840
333,100577504,413763,,100577504,726361,,,,,,100576843
334,412815,410059,,412815,726371,,,,,,100576847
335,552286,408288,,552286,726421,,,,,,100576848
336,725720,410479,,725720,726586,,,,,,100576850
337,724765,552602,,724765,726611,,,,,,100576851
338,412101,724919,,412101,726625,,,,,,100576855
339,724899,408353,,724899,726629,,,,,,100576859
340,100577693,726683,,100577693,726683,,,,,,100576862
341,408462,100578311,,408462,726733,,,,,,100576863
342,100577014,551710,,100577014,726750,,,,,,100576864
343,412774,726318,,412774,726803,,,,,,100576866
344,551758,724330,,551758,726814,,,,,,100576871
345,410288,726586,,410288,726818,,,,,,100576872
346,551077,100576151,,551077,726848,,,,,,100576876
347,107965038,552741,,107965038,726860,,,,,,100576878
348,551806,725274,,551806,726864,,,,,,100576879
349,100577192,411699,,100577192,726886,,,,,,100576881
350,406146,550956,,406146,726887,,,,,,100576882
351,551223,408904,,551223,726970,,,,,,100576885
352,102654384,725817,,102654384,727007,,,,,,100576886
353,406067,413789,,406067,727028,,,,,,100576894
354,412163,552778,,412163,727037,,,,,,100576895
355,551643,550659,,551643,727110,,,,,,100576896
356,411207,100576646,,411207,727254,,,,,,100576898
357,100642173,551552,,100642173,727546,,,,,,100576901
358,724919,413720,,724919,,,,,,,100576902
359,410837,552235,,410837,,,,,,,100576903
360,724971,552064,,724971,,,,,,,100576908
361,725578,411985,,725578,,,,,,,100576912
362,724286,413672,,724286,,,,,,,100576914
363,413868,724536,,413868,,,,,,,100576915
364,410517,409485,,410517,,,,,,,100576916
365,411822,551658,,411822,,,,,,,100576918
366,726860,411362,,726860,,,,,,,100576919
367,102654369,552313,,102654369,,,,,,,100576924
368,725098,725938,,725098,,,,,,,100576930
369,113218991,410383,,113218991,,,,,,,100576932
370,411863,551501,,411863,,,,,,,100576934
371,412694,412574,,412694,,,,,,,100576935
372,102654715,409650,,102654715,,,,,,,100576936
373,724779,100576600,,724779,,,,,,,100576938
374,724235,726307,,724235,,,,,,,100576940
375,100578822,410710,,100578822,,,,,,,100576944
376,544670,413065,,544670,,,,,,,100576945
377,410479,725388,,410479,,,,,,,100576947
378,552293,412036,,552293,,,,,,,100576948
379,552377,408725,,552377,,,,,,,100576949
380,408904,100578201,,408904,,,,,,,100576951
381,408875,412546,,408875,,,,,,,100576953
382,409368,411976,,409368,,,,,,,100576956
383,411533,727479,,411533,,,,,,,100576957
384,724847,412169,,724847,,,,,,,100576958
385,413371,552402,,413371,,,,,,,100576960
386,550886,411167,,550886,,,,,,,100576961
387,550785,726373,,550785,,,,,,,100576963
388,406086,406151,,406086,,,,,,,100576964
389,726432,409942,,726432,,,,,,,100576965
390,100578694,413504,,100578694,,,,,,,100576966
391,725244,726445,,725244,,,,,,,100576967
392,413625,551513,,413625,,,,,,,100576968
393,102654640,413024,,102654640,,,,,,,100576972
394,551512,552095,,551512,,,,,,,100576974
395,413805,725754,,413805,,,,,,,100576975
396,725803,102655244,,725803,,,,,,,100576976
397,726180,410216,,726180,,,,,,,100576982
398,724831,410467,,724831,,,,,,,100576983
399,102653993,409105,,102653993,,,,,,,100576984
400,725230,100577214,,725230,,,,,,,100576985
401,411614,102656585,,411614,,,,,,,100576986
402,726720,100576938,,726720,,,,,,,100576989
403,102655054,725480,,102655054,,,,,,,100576990
404,725903,406153,,725903,,,,,,,100576992
405,724275,725941,,724275,,,,,,,100576993
406,,408922,,107964975,,,,,,,100576994
407,,100578563,,406090,,,,,,,100576996
408,,552139,,406116,,,,,,,100577000
409,,413407,,406149,,,,,,,100577002
410,,411420,,406114,,,,,,,100577003
411,,724591,,113218518,,,,,,,100577004
412,,411361,,552829,,,,,,,100577014
413,,724546,,409619,,,,,,,100577015
414,,552573,,724239,,,,,,,100577017
415,,408714,,551560,,,,,,,100577019
416,,551930,,406133,,,,,,,100577020
417,,726710,,677673,,,,,,,100577024
418,,410905,,677671,,,,,,,100577026
419,,408969,,100576555,,,,,,,100577027
420,,408818,,102654366,,,,,,,100577028
421,,410352,,726629,,,,,,,100577030
422,,409924,,552478,,,,,,,100577031
423,,410066,,411978,,,,,,,100577033
424,,413370,,107965814,,,,,,,100577039
425,,726742,,725202,,,,,,,100577041
