"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100577883",2297.49398360078,-4.26063668760099,0.826293798804633,-5.156321751131,2.51847997550862e-07,0.000210132811047437
"411564",1164.25981781883,-3.5385062067766,0.633298331596077,-5.58742385734484,2.30462750977955e-08,2.35020792052852e-05
"449496",2925.22627563536,-3.45019268525998,0.874325016854855,-3.94612142938687,7.94273436044338e-05,0.0191837936737235
"409740",1392.1144621305,-3.09800186999737,0.636320129518973,-4.8686215102755,1.12379413389307e-06,0.000644636410054413
"724694",235.678351900701,-2.8259907106399,0.523951550123632,-5.39361074506427,6.90557310807877e-08,6.33793499859469e-05
"726798",481.384311401253,-2.4773245614154,0.26289130912212,-9.42337945551717,4.36798194208302e-21,4.00893382644379e-17
"409852",3016.15663734032,-2.01957011175273,0.245727984264475,-8.21872249429713,2.05682362593401e-16,9.43876361941115e-13
"409602",579.300798986283,-1.87201903618791,0.285837804968649,-6.54923527835388,5.78324573101793e-11,1.02201012983252e-07
"724993",287.33184863805,-1.62534680353437,0.254162474453809,-6.3949125732554,1.60639241270254e-10,1.84293369547299e-07
"100576271",240.409090354134,-1.48812961117408,0.313839572328713,-4.74168888305593,2.11943927650987e-06,0.00102380071998987
"726441",158.158264653574,-1.38096702908553,0.332667382787296,-4.15119455810463,3.30744450883632e-05,0.00939898061674217
"100578733",189.31325599828,-1.34531280479778,0.338151027179477,-3.9784377294934,6.93695735774347e-05,0.0172074039538837
"107964589",466.074901275886,-1.32959983498047,0.314410145694645,-4.22887064297148,2.3486733302413e-05,0.00743314614653607
"409638",3156.56783428174,-1.32848114304113,0.178809518393058,-7.42958850837502,1.08936034948777e-13,3.33271642919958e-10
"411132",378.525085603938,-1.31601681069091,0.328130307014876,-4.01065303191041,6.05510387739294e-05,0.0158782123962035
"552154",950.870929526668,-1.24119431631269,0.326432156892175,-3.80230406259475,0.00014335663336708,0.0257985721773149
"408395",339.387756816278,-1.12162998776074,0.302363564230027,-3.70954083246434,0.000207635469919203,0.0328565231537663
"100577598",202.273861457185,-1.00656467918849,0.263513560452037,-3.81978323036508,0.000133569006722682,0.0250182927285873
"551053",1916.71899430218,-0.879731431578584,0.185320348343797,-4.74708492316531,2.06369319456802e-06,0.00102380071998987
"413097",1896.41823847121,-0.876466580432907,0.219428176300656,-3.99432103574515,6.48799054024764e-05,0.0165407714384425
"408646",1039.72560015808,-0.854453538859688,0.190775014017669,-4.47885454633253,7.50446453142921e-06,0.00313072615770261
"552518",261.075480724662,-0.838895351425866,0.228259759023734,-3.6751784677852,0.000237683208049962,0.0369738387030941
"411563",2573.24611843214,-0.807679940446243,0.119542618586498,-6.75641833846753,1.41444641065467e-11,3.24544728924713e-08
"102654480",942.726880108041,-0.775267312331559,0.199506139937665,-3.8859320949911,0.00010193800042664,0.0217578364631559
"100576249",2237.44681779209,-0.749009873291124,0.172683069939962,-4.33748295968758,1.44123704264273e-05,0.00489913836199074
"412810",4610.80973395554,-0.655376414597086,0.149368571385206,-4.38764599888244,1.14584074990568e-05,0.00416981440797276
"726392",8296.35754362655,-0.638127149859506,0.171647272532806,-3.71766553842295,0.000201072230237506,0.0323761566512252
"725754",7406.2546154597,-0.63525139444393,0.145000799295883,-4.3810199497429,1.1812505405022e-05,0.00416981440797276
"408579",6985.31863471031,-0.550143212550028,0.149923520115288,-3.66949236602087,0.000243032594917854,0.0371758859359345
"408922",7434.35658010491,-0.532209465997171,0.124504654454773,-4.27461502003926,1.91467842382817e-05,0.00627604234781963
"726710",7261.10186390793,-0.526689682484087,0.139050064209182,-3.78777014940284,0.000152005370580198,0.0258352831700937
"100577214",3323.12576082462,-0.492316251867582,0.105056272938502,-4.68621471233589,2.78304297698581e-06,0.00127713842213879
"551501",2026.2524226745,-0.464381571646033,0.104156637466158,-4.45849235289414,8.25381410948131e-06,0.00329363069116606
"413370",9059.53783917402,-0.437208256094987,0.122348335178792,-3.5734712324126,0.000352279961659008,0.0482570968374085
"409781",7849.7118487664,-0.408283590495115,0.1041558023874,-3.91993130614589,8.85742118617893e-05,0.0196239607860964
"410272",3882.63806651676,-0.365516483175101,0.101815398584396,-3.5899921648111,0.000330687901300615,0.0466931316636468
"552417",42238.7060751605,-0.360488790259741,0.0985082384546003,-3.65947859707064,0.000252728949243948,0.0378870049860615
"406153",5789.94732113266,-0.304320580480064,0.0729717428892,-4.17038936485515,3.04079651802547e-05,0.0092971375430642
"410710",12693.1706690776,-0.252877905997528,0.0645102107982917,-3.91996713184239,8.85610459848437e-05,0.0196239607860964
"409368",3105.28580241004,0.321293404116347,0.0894597963010145,3.59148374354954,0.000328800689284819,0.0466931316636468
"100579049",1893.87798460404,0.399191381121234,0.103255640787959,3.86604913857438,0.000110612660823181,0.0222821986049134
"411813",8680.27725716125,0.625901179808797,0.0958847101575883,6.52764323717636,6.68126038243092e-11,1.02201012983252e-07
"727254",579.95531726729,0.683472648373771,0.174506124881702,3.91661122976112,8.98023919171987e-05,0.0196239607860964
"726887",567.317571258282,0.702482490898146,0.188542636770221,3.72585481423106,0.000194654426883582,0.0319024701774556
"551850",218.876297345082,0.748719690623359,0.197527356417474,3.79046074530021,0.000150368096502787,0.0258352831700937
"551241",3075.7136071226,0.764419526539091,0.200783732964719,3.80717857593281,0.000140561249923834,0.0257985721773149
"100577346",291.501606835406,0.82761805034106,0.214480882910761,3.85870311194778,0.000113990310569007,0.0222821986049134
"100578464",988.352689797757,0.868176081661726,0.237450241041957,3.65624426343843,0.000255937492823688,0.0378870049860615
"411272",2999.93940296059,0.878223772796096,0.223085740608991,3.93670958259671,8.26064770865793e-05,0.0194400576077083
"725146",1990.06282951457,0.891727175429677,0.182564983891667,4.8844370723294,1.03724761634327e-06,0.000644636410054413
"410893",1054.48341337246,0.913441362841147,0.255409565347319,3.57637883138402,0.000348386684621981,0.0482570968374085
"113218744",206.523158433414,0.960559174737311,0.248394058931114,3.86707789578695,0.000110147252754275,0.0222821986049134
"113219336",368.416318431528,0.976903872270226,0.235610680661776,4.14626310456864,3.37945478701778e-05,0.00939898061674217
"408989",3264.61953647394,1.00913186591512,0.21990929801194,4.58885492809098,4.45684015453159e-06,0.00194785137801385
"550804",2821.65865770275,1.05308500533585,0.239055865288062,4.40518371748331,1.05694262117276e-05,0.00404192474046816
"725343",3966.60558138451,1.2346485736847,0.252461503909382,4.89044291730062,1.00609332785301e-06,0.000644636410054413
"725038",4574.48299229076,1.27622930380781,0.333511057886004,3.82664764370132,0.000129900249034195,0.0248380101174134
"551233",10386.6795368823,1.47446674440417,0.302840997806734,4.86878181977573,1.1228829929468e-06,0.000644636410054413
"409061",700.000063560404,1.50860551903146,0.304804290982029,4.94942349456756,7.44336287038238e-07,0.000569293203536412
"551837",822.020573771087,1.60902281582429,0.451908494306651,3.56050580171759,0.000370141132608134,0.0499581663981978
"725489",336.83649546131,1.75556735672634,0.270766730215266,6.48368931932895,8.95064391671102e-11,1.17355728382248e-07
"727007",189.383161936877,2.03445537333221,0.560222368504717,3.63151399820459,0.00028176337093939,0.0410480034679639
"724552",728.715014244627,2.09295964187526,0.432065750464702,4.84407671662058,1.27201780647718e-06,0.000686739966343974
"408361",2197.70064720154,2.73641256211753,0.720775233243316,3.7964852785026,0.000146762073765932,0.0258352831700937
"726625",1193.31392992846,3.1761305527598,0.823161118081911,3.85845551131067,0.000114105832908142,0.0222821986049134
"725382",1924.3945770446,4.58954551414643,1.10244774627856,4.16305038460008,3.14024039916093e-05,0.0092971375430642
"552447",2710.9967946992,4.62133287751318,1.11838249043618,4.13215775196087,3.59373631661836e-05,0.00970097409233038
"406149",10436.0621703388,5.85542376536689,1.56465234921734,3.74231615623488,0.000182331918042507,0.0304262244326205
