"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"406090",59322.9127984009,-7.02007757223102,1.32001238267719,-5.31819069605486,1.04804195572382e-07,1.74889619447877e-05
"406116",12514.6090639948,-5.72671177767961,1.11998979813528,-5.11318209077822,3.16776668514575e-07,4.4728865594258e-05
"552447",2710.9967946992,-5.65487691541372,0.791412632713003,-7.14529523749011,8.98026640861653e-13,4.8482873587225e-10
"406149",10436.0621703388,-5.57285783782373,1.10662808746103,-5.03589046850393,4.75632491273465e-07,6.34288655028882e-05
"725382",1924.3945770446,-5.44258332487801,0.780549794161067,-6.9727560824325,3.10791219120031e-12,1.35830562337316e-09
"113218518",6405.26176161213,-4.67682449430266,1.01691748210767,-4.59902064483094,4.2448172025855e-06,0.000453010840527089
"551560",437.634172641519,-4.59653104013717,0.994730574050191,-4.62088042737213,3.82114970493144e-06,0.000422536289058564
"406133",2458.41039867048,-4.33471808707368,1.14717579798971,-3.77859966595333,0.000157712730502902,0.00795322769536061
"100576118",379.168007524883,-4.14047544429962,0.715603659430558,-5.7859897580658,7.2086606277587e-09,1.61368505467242e-06
"725202",501.216836846237,-3.82379768902178,1.12883423424012,-3.38738636111243,0.000705619420268823,0.0255975297993172
"408361",2197.70064720154,-3.487328398907,0.509785032126671,-6.84078224964532,7.87618997442655e-12,3.28580325387668e-09
"551935",498.523641671663,-3.39570600673095,0.769992639054683,-4.41004995956825,1.0334677346843e-05,0.000929918320483583
"727110",299.382316759771,-3.36805914859587,0.842330815281242,-3.99849926833239,6.37453780940025e-05,0.00379905896199191
"725305",970.022369152737,-3.18668176811046,0.889411732044992,-3.58290952693354,0.000339788318930519,0.0147799866878877
"107963970",340.590524911857,-3.18663633542182,0.690912915202493,-4.61221127193415,3.98407738054457e-06,0.00043530788331712
"113219195",1218.29591661014,-3.00336982877139,0.899950603063357,-3.33726075469939,0.000846085290348082,0.0288675494231029
"725026",264.205361777634,-3.00102312909053,0.439825702416586,-6.82320999569071,8.90283655532476e-12,3.40459307936545e-09
"726625",1193.31392992846,-2.98412120320732,0.582111503188285,-5.12637387659062,2.9537576680376e-07,4.30310918686494e-05
"406093",234036.209170151,-2.95669020673356,0.747619060420278,-3.95480848906051,7.65959821350546e-05,0.00444535823420672
"107964020",400.049142869534,-2.91552277394333,0.504864655932568,-5.77486013267829,7.70170343540312e-09,1.6830055745269e-06
"100577725",612.78102543919,-2.89366339702083,0.768725496175297,-3.76423497258503,0.000167059741971508,0.00837854815199182
"726803",192.706956185086,-2.86760631397786,0.668805172935816,-4.28765570306536,1.80568682171308e-05,0.00144109509997241
"726750",712.709060025259,-2.67308142845236,0.563721151017096,-4.7418505117813,2.11774868934347e-06,0.000252424642477849
"552391",897.238497201588,-2.67206031370349,0.699568458408957,-3.8195837470726,0.00013367706854127,0.00697095531290782
"551401",446.124899410011,-2.63151005001099,0.792525573780887,-3.32041026443714,0.000898852502551996,0.0302185650857957
"727007",189.383161936877,-2.57949504222679,0.395731327749055,-6.518298808687,7.11092314635517e-11,2.2504845736982e-08
"724552",728.715014244627,-2.44857118974424,0.305243797468533,-8.02169023597165,1.04299893582912e-15,8.70240384821785e-13
"409469",335.708724227888,-2.4048963184296,0.550031976378179,-4.37228456109993,1.22953123531997e-05,0.00106055921249385
"724865",760.548222673562,-2.21719555627446,0.615030547280839,-3.60501696391681,0.000312132539113747,0.0137728482883941
"551837",822.020573771087,-2.17909590994007,0.319276027524419,-6.82511595635975,8.78543235687026e-12,3.40459307936545e-09
"725489",336.83649546131,-2.16264867539039,0.192514632309035,-11.2336846786731,2.78612225710792e-29,2.55710300757365e-25
"724951",360.64830642537,-2.12371754417381,0.35012891383526,-6.06553032399103,1.31518951840544e-09,3.44880268569288e-07
"100577198",1046.70725837155,-2.11572596541265,0.329848348732313,-6.41423846305095,1.41528529167669e-10,4.19015755064796e-08
"725038",4574.48299229076,-1.92672134359811,0.235895842666693,-8.16767825077977,3.1438103143544e-16,4.12198443787782e-13
"410484",239.421519878669,-1.87035737978023,0.448181673482087,-4.17321253956847,3.00334527113713e-05,0.00218767483321401
"551233",10386.6795368823,-1.85217248109904,0.214090157670624,-8.65136679449131,5.08862635008081e-18,9.34068252820833e-15
"410824",707.662100969399,-1.84293406977726,0.32717511711528,-5.63286745650619,1.7723767458107e-08,3.53627690718491e-06
"100576745",634.670239550146,-1.84183902636538,0.349990375954071,-5.26254192374446,1.42077252745054e-07,2.21014411134594e-05
"113218789",255.046705564516,-1.82352600640846,0.439176791535172,-4.15214565422323,3.29372509032806e-05,0.00236170381867429
"100578084",363.607867966923,-1.81475406389977,0.39450417979884,-4.60008830533842,4.22311878596442e-06,0.000453010840527089
"724208",374.881006409694,-1.81237779724502,0.324824710157836,-5.57955642095199,2.41132721663694e-08,4.61065858214456e-06
