"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"406142",3650.52985686953,-4.99813378830892,1.22200378130343,-4.09011319341233,4.31162714251226e-05,0.0106951659226966
"724951",360.64830642537,-2.39478058845867,0.351474393539986,-6.81352790551503,9.52338747926408e-12,4.37028251423429e-08
"726625",1193.31392992846,-2.165139134868,0.581557531790223,-3.72300076348938,0.000196868926377167,0.0368747552304007
"408361",2197.70064720154,-1.87688091374937,0.509131707173859,-3.68643493874651,0.000227417548091677,0.0393984521590491
"724552",728.715014244627,-1.73770644434981,0.304244370816975,-5.71154838356949,1.11952857802829e-08,1.28437916114296e-05
"724907",415.024656408491,-1.65809252484346,0.321174892941659,-5.16258450234668,2.43563364403742e-07,0.000159673182749824
"727007",189.383161936877,-1.6411197956637,0.391345759119997,-4.19352901473627,2.74647928755529e-05,0.00720205340033784
"113218789",255.046705564516,-1.6173398240916,0.438968783323588,-3.68440737823348,0.000229235362448449,0.0393984521590491
"551233",10386.6795368823,-1.49014677758306,0.214059235151376,-6.96137579174881,3.3696557847753e-12,3.09267007926677e-08
"551837",822.020573771087,-1.46360722631546,0.318547493442717,-4.59462797995194,4.3352199435513e-06,0.00180857493826881
"100577198",1046.70725837155,-1.46096999601636,0.329385905338601,-4.43543567692892,9.1886265649725e-06,0.0030119005219042
"725343",3966.60558138451,-1.18006032911379,0.178251812539909,-6.62018698322965,3.58744795193084e-11,9.0280361536068e-08
"409061",700.000063560404,-1.16540213807022,0.21434612433933,-5.43701054386822,5.41819330861375e-08,4.52074347149609e-05
"102655330",56.9483962817234,-1.07729946874457,0.245162439062353,-4.39422724323027,1.11167482718916e-05,0.00351825915998002
"725489",336.83649546131,-1.03433638526692,0.187272932268917,-5.52314940944934,3.32976347358871e-08,3.05605691605972e-05
"411272",2999.93940296059,-0.942175964219425,0.157365086389078,-5.98719821428455,2.13486554338206e-09,3.26563265952676e-06
"100578341",59.9951087440978,-0.930528798786351,0.216752546940455,-4.2930466650617,1.76237947040378e-05,0.00505472461855185
"107966053",145.086856867158,-0.916894056767134,0.20592179065577,-4.45263249628527,8.48238651920878e-06,0.00298872245683685
"410282",404.679492979367,-0.908518643424575,0.213277712459908,-4.25979176607757,2.0461744225287e-05,0.00569084510605105
"410893",1054.48341337246,-0.892749994934583,0.180008367392907,-4.95949164955185,7.06778857719208e-07,0.000360378686452605
"725031",1608.62999470168,-0.874580267221109,0.193143806576725,-4.52813001215076,5.95079655492812e-06,0.00218465643124521
"725325",482.684913931911,-0.870074659137121,0.222309863555396,-3.91379242118204,9.08577501949823e-05,0.0203388397875499
"550804",2821.65865770275,-0.857276905895652,0.168770171407555,-5.07955226178833,3.78325441564924e-07,0.000204251229569581
