taget_id	GeneID
GB51810-RA	GB51810
GB51863-RA	GB51863
GB51809-RA	GB51809
GB51808-RA	GB51808
GB51807-RA	GB51807
GB51806-RA	GB51806
GB51805-RA	GB51805
GB51865-RA	GB51865
GB51803-RA	GB51803
GB51866-RA	GB51866
GB51867-RA	GB51867
GB51802-RA	GB51802
GB48976-RA	GB48976
GB48975-RA	GB48975
GB48977-RA	GB48977
GB48978-RA	GB48978
GB48974-RA	GB48974
GB48979-RA	GB48979
GB48980-RA	GB48980
GB48981-RA	GB48981
GB48982-RA	GB48982
GB48973-RA	GB48973
GB48983-RA	GB48983
GB48972-RA	GB48972
GB48971-RA	GB48971
GB48970-RA	GB48970
GB48984-RA	GB48984
GB48985-RA	GB48985
GB48986-RA	GB48986
GB48987-RA	GB48987
GB48988-RA	GB48988
GB48989-RA	GB48989
GB48990-RA	GB48990
GB48991-RA	GB48991
GB48969-RA	GB48969
GB48992-RA	GB48992
GB48968-RA	GB48968
GB48967-RA	GB48967
GB48993-RA	GB48993
GB48994-RA	GB48994
GB48966-RA	GB48966
GB48996-RA	GB48996
GB48965-RA	GB48965
GB48997-RA	GB48997
GB48998-RA	GB48998
GB48964-RA	GB48964
GB48999-RA	GB48999
GB49000-RA	GB49000
GB48963-RA	GB48963
GB49001-RA	GB49001
GB49002-RA	GB49002
GB49003-RA	GB49003
GB49004-RA	GB49004
GB48962-RA	GB48962
GB48961-RA	GB48961
GB48960-RA	GB48960
GB48959-RA	GB48959
GB48958-RA	GB48958
GB43012-RA	GB43012
GB43011-RA	GB43011
GB43010-RA	GB43010
GB43013-RA	GB43013
GB43009-RA	GB43009
GB43014-RA	GB43014
GB43008-RA	GB43008
GB43007-RA	GB43007
GB43006-RA	GB43006
GB43005-RA	GB43005
GB43015-RA	GB43015
GB43016-RA	GB43016
GB43004-RA	GB43004
GB43017-RA	GB43017
GB43003-RA	GB43003
GB43018-RA	GB43018
GB43019-RA	GB43019
GB43020-RA	GB43020
GB41054-RA	GB41054
GB41055-RA	GB41055
GB41056-RA	GB41056
GB41057-RA	GB41057
GB41053-RA	GB41053
GB41052-RA	GB41052
GB41051-RA	GB41051
GB41050-RA	GB41050
GB41058-RA	GB41058
GB41049-RA	GB41049
GB41048-RA	GB41048
GB41047-RA	GB41047
GB41059-RA	GB41059
GB41060-RA	GB41060
GB41046-RA	GB41046
GB41045-RA	GB41045
GB41044-RA	GB41044
GB41061-RA	GB41061
GB41043-RA	GB41043
GB41063-RA	GB41063
GB41042-RA	GB41042
GB41041-RA	GB41041
GB41064-RA	GB41064
GB41065-RA	GB41065
GB41039-RA	GB41039
GB41066-RA	GB41066
GB41038-RA	GB41038
GB41067-RA	GB41067
GB41037-RA	GB41037
GB41068-RA	GB41068
GB41069-RA	GB41069
GB41036-RA	GB41036
GB41070-RA	GB41070
GB41071-RA	GB41071
GB41072-RA	GB41072
GB41035-RA	GB41035
GB41073-RA	GB41073
GB41074-RA	GB41074
GB41034-RA	GB41034
GB41033-RA	GB41033
GB41032-RA	GB41032
GB41075-RA	GB41075
GB41076-RA	GB41076
GB41077-RA	GB41077
GB41031-RA	GB41031
GB41078-RA	GB41078
GB41030-RA	GB41030
GB41029-RA	GB41029
GB41028-RA	GB41028
GB41079-RA	GB41079
GB41080-RA	GB41080
GB41081-RA	GB41081
GB41082-RA	GB41082
GB41083-RA	GB41083
GB41027-RA	GB41027
GB41084-RA	GB41084
GB41026-RA	GB41026
GB41025-RA	GB41025
GB41085-RA	GB41085
GB41024-RA	GB41024
GB41023-RA	GB41023
GB41022-RA	GB41022
GB46538-RA	GB46538
GB46537-RA	GB46537
GB46539-RA	GB46539
GB46536-RA	GB46536
GB46540-RA	GB46540
GB46541-RA	GB46541
GB46535-RA	GB46535
GB46542-RA	GB46542
GB46543-RA	GB46543
GB46544-RA	GB46544
GB46534-RA	GB46534
GB46533-RA	GB46533
GB46532-RA	GB46532
GB46531-RA	GB46531
GB46530-RA	GB46530
GB46545-RA	GB46545
GB46546-RA	GB46546
GB46547-RA	GB46547
GB46548-RA	GB46548
GB44816-RA	GB44816
GB44817-RA	GB44817
GB44818-RA	GB44818
GB44819-RA	GB44819
GB44820-RA	GB44820
GB44821-RA	GB44821
GB44822-RA	GB44822
GB44823-RA	GB44823
GB44824-RA	GB44824
GB44825-RA	GB44825
GB47708-RA	GB47708
GB47709-RA	GB47709
GB47707-RA	GB47707
GB47710-RA	GB47710
GB47711-RA	GB47711
GB47706-RA	GB47706
GB47705-RA	GB47705
GB47712-RA	GB47712
GB47713-RA	GB47713
GB47714-RA	GB47714
GB47715-RA	GB47715
GB47703-RA	GB47703
GB47702-RA	GB47702
GB47717-RA	GB47717
GB47701-RA	GB47701
GB47700-RA	GB47700
GB47699-RA	GB47699
GB47698-RA	GB47698
GB47697-RA	GB47697
GB47718-RA	GB47718
GB47719-RA	GB47719
GB47720-RA	GB47720
GB47696-RA	GB47696
GB47721-RA	GB47721
GB47722-RA	GB47722
GB47695-RA	GB47695
GB47723-RA	GB47723
GB47694-RA	GB47694
GB47693-RA	GB47693
GB47692-RA	GB47692
GB47691-RA	GB47691
GB47690-RA	GB47690
GB47689-RA	GB47689
GB47724-RA	GB47724
GB47725-RA	GB47725
GB47688-RA	GB47688
GB47687-RA	GB47687
GB47726-RA	GB47726
GB47686-RA	GB47686
GB47727-RA	GB47727
GB47728-RA	GB47728
GB47685-RA	GB47685
GB47684-RA	GB47684
GB47729-RA	GB47729
GB47730-RA	GB47730
GB47731-RA	GB47731
GB47732-RA	GB47732
GB47733-RA	GB47733
GB47683-RA	GB47683
GB47734-RA	GB47734
GB47735-RA	GB47735
GB47682-RA	GB47682
GB47736-RA	GB47736
GB47680-RA	GB47680
GB47679-RA	GB47679
GB47678-RA	GB47678
GB47737-RA	GB47737
GB47677-RA	GB47677
GB47676-RA	GB47676
GB47675-RA	GB47675
GB47738-RA	GB47738
GB47673-RA	GB47673
GB47672-RA	GB47672
GB47671-RA	GB47671
GB47740-RA	GB47740
GB47670-RA	GB47670
GB47669-RA	GB47669
GB47741-RA	GB47741
GB47742-RA	GB47742
GB47743-RA	GB47743
GB47668-RA	GB47668
GB47744-RA	GB47744
GB47667-RA	GB47667
GB47745-RA	GB47745
GB47746-RA	GB47746
GB47747-RA	GB47747
GB47748-RA	GB47748
GB47666-RA	GB47666
GB47665-RA	GB47665
GB47664-RA	GB47664
GB47663-RA	GB47663
GB47749-RA	GB47749
GB47662-RA	GB47662
GB47751-RA	GB47751
GB47661-RA	GB47661
GB47752-RA	GB47752
GB47660-RA	GB47660
GB47753-RA	GB47753
GB47659-RA	GB47659
GB47754-RA	GB47754
GB47658-RA	GB47658
GB47657-RA	GB47657
GB47656-RA	GB47656
GB40869-RA	GB40869
GB40870-RA	GB40870
GB40871-RA	GB40871
GB40868-RA	GB40868
GB45852-RA	GB45852
GB45853-RA	GB45853
GB45851-RA	GB45851
GB45854-RA	GB45854
GB45855-RA	GB45855
GB45850-RA	GB45850
GB45849-RA	GB45849
GB45848-RA	GB45848
GB45856-RA	GB45856
GB45857-RA	GB45857
GB45858-RA	GB45858
GB45859-RA	GB45859
GB45847-RA	GB45847
GB45846-RA	GB45846
GB45845-RA	GB45845
GB45860-RA	GB45860
GB45844-RA	GB45844
GB45843-RA	GB45843
GB45842-RA	GB45842
GB45841-RA	GB45841
GB45840-RA	GB45840
GB45839-RA	GB45839
GB45838-RA	GB45838
GB45861-RA	GB45861
GB45862-RA	GB45862
GB45863-RA	GB45863
GB45864-RA	GB45864
GB45837-RA	GB45837
GB45865-RA	GB45865
GB45836-RA	GB45836
GB45834-RA	GB45834
GB45833-RA	GB45833
GB45832-RA	GB45832
GB45831-RA	GB45831
GB45866-RA	GB45866
GB45830-RA	GB45830
GB45867-RA	GB45867
GB45829-RA	GB45829
GB45868-RA	GB45868
GB45828-RA	GB45828
GB45827-RA	GB45827
GB45869-RA	GB45869
GB45870-RA	GB45870
GB45826-RA	GB45826
GB45871-RA	GB45871
GB45825-RA	GB45825
GB45872-RA	GB45872
GB45873-RA	GB45873
GB45824-RA	GB45824
GB45874-RA	GB45874
GB45875-RA	GB45875
GB45823-RA	GB45823
GB45876-RA	GB45876
GB45822-RA	GB45822
GB45877-RA	GB45877
GB45821-RA	GB45821
GB45878-RA	GB45878
GB45820-RA	GB45820
GB45879-RA	GB45879
GB45880-RA	GB45880
GB45819-RA	GB45819
GB45818-RA	GB45818
GB45881-RA	GB45881
GB45882-RA	GB45882
GB45817-RA	GB45817
GB45816-RA	GB45816
GB45815-RA	GB45815
GB45883-RA	GB45883
GB45884-RA	GB45884
GB45814-RA	GB45814
GB45813-RA	GB45813
GB45885-RA	GB45885
GB45812-RA	GB45812
GB45886-RA	GB45886
GB45811-RA	GB45811
GB45810-RA	GB45810
GB45887-RA	GB45887
GB45809-RA	GB45809
GB44763-RA	GB44763
GB44762-RA	GB44762
GB44764-RA	GB44764
GB44761-RA	GB44761
GB44760-RA	GB44760
GB44765-RA	GB44765
GB44759-RA	GB44759
GB44766-RA	GB44766
GB44758-RA	GB44758
