background,MEdarkgrey,MElightgreen,MEpink,MEdarkgreen,MEcyan,MElightcyan,MEyellow,MEsteelblue,MEskyblue,MEsaddlebrown,MEsalmon,MEgreenyellow,MEorange,MEmidnightblue,MEwhite,MEred,MEbrown,MEviolet,MEgrey60,MEdarkorange,MElightyellow,MEmagenta,MEpurple
GB10787,GB46225,GB44026,GB41818,GB44708,GB43586,GB43779,GB40391,GB45260,GB47660,GB45254,GB42664,GB41976,GB43863,GB42012,GB44884,GB40678,GB40555,GB50538,GB43126,GB44490,GB44333,GB41755,GB41658
GB11132,GB46226,GB44548,GB41860,GB45052,GB43812,GB43969,GB40441,GB45923,GB48075,GB45316,GB42770,GB42062,GB43917,GB42024,GB44912,GB40830,GB40610,GB50573,GB43143,GB45018,GB44387,GB41795,GB41731
GB11203,GB46227,GB44549,GB41903,GB45120,GB43953,GB44149,GB40444,GB45982,GB48183,GB45343,GB42786,GB42079,GB43955,GB42237,GB45429,GB40944,GB40618,GB50627,GB43188,GB45221,GB44600,GB41827,GB41740
GB11223,GB46230,GB44626,GB41965,GB45612,GB44014,GB44192,GB40448,GB46253,GB48946,GB45363,GB42875,GB42081,GB44000,GB42419,GB45479,GB40975,GB40625,GB51068,GB43362,GB45678,GB44663,GB41872,GB41751
GB11353,GB46297,GB44730,GB42072,GB45714,GB44146,GB44248,GB40454,GB47226,GB48976,GB45457,GB42919,GB42234,GB44037,GB42661,GB46070,GB41202,GB40629,GB52179,GB43369,GB45814,GB44876,GB41897,GB41753
GB11398,GB46367,GB44987,GB42075,GB45875,GB44424,GB44344,GB40460,GB47414,GB48996,GB45693,GB42925,GB42238,GB44334,GB42689,GB46960,GB41243,GB40674,GB52785,GB43602,GB46115,GB45062,GB41980,GB41811
GB11411,GB46410,GB45210,GB42084,GB46013,GB44513,GB44616,GB40492,GB47420,GB49042,GB46017,GB42977,GB42416,GB44418,GB42742,GB47100,GB41276,GB40799,GB52875,GB43618,GB46313,GB45063,GB42020,GB41888
GB11622,GB46726,GB45261,GB42218,GB46119,GB44526,GB45028,GB40534,GB47476,GB49248,GB46627,GB43000,GB42629,GB44579,GB42785,GB47309,GB41333,GB40848,GB53327,GB43839,GB46565,GB45075,GB42073,GB42066
GB11702,GB46737,GB45274,GB42227,GB46218,GB44614,GB45184,GB40539,GB47575,GB49354,GB46714,GB43420,GB42649,GB44934,GB42872,GB47329,GB41410,GB40871,GB55040,GB44005,GB47016,GB45239,GB42411,GB42269
GB11704,GB46814,GB45340,GB42261,GB46640,GB44634,GB45565,GB40576,GB47661,GB49423,GB47687,GB43480,GB42650,GB45126,GB42961,GB47888,GB41430,GB40904,GB55216,GB44396,GB47498,GB45294,GB42412,GB42292
GB11726,GB46984,GB45504,GB42282,GB46705,GB44808,GB45808,GB40653,GB47683,GB49527,GB48601,GB43508,GB42651,GB45423,GB42964,GB47950,GB41785,GB40906,LOC100576260,GB44460,GB47973,GB45391,GB42435,GB42409
GB11729,GB47520,GB45833,GB42351,GB46747,GB44833,GB45850,GB40707,GB47812,GB49658,GB48872,GB43552,GB42743,GB45566,GB43081,GB48307,GB41850,GB40993,LOC100576657,GB44493,GB48026,GB45437,GB42436,GB42543
GB11848,GB47885,GB45834,GB42410,GB47401,GB44888,GB46151,GB40730,GB47816,GB49758,GB49000,GB43707,GB42779,GB45638,GB43121,GB48795,GB41894,GB40998,LOC102653863,GB44645,GB48223,GB45500,GB42494,GB42548
GB11862,GB47931,GB45851,GB42434,GB47551,GB45040,GB46241,GB40760,GB47879,GB50343,GB49084,GB43817,GB42854,GB45760,GB43162,GB49055,GB41967,GB41074,LOC102654173,GB44980,GB48228,GB45548,GB42550,GB42579
GB11943,GB47970,GB46054,GB42467,GB47723,GB45107,GB46438,GB40777,GB47961,GB50413,GB49089,GB43889,GB42861,GB46012,GB43236,GB49184,GB42015,GB41140,LOC102654369,GB45128,GB48408,GB45810,GB42551,GB42603
GB11993,GB47974,GB46368,GB42472,GB47977,GB45131,GB46500,GB40779,GB48360,GB50751,GB49169,GB43954,GB42862,GB46065,GB43520,GB49186,GB42043,GB41195,LOC102654715,GB45378,GB48634,GB45975,GB42693,GB42757
GB12004,GB48881,GB46516,GB42515,GB47990,GB45247,GB46952,GB40800,GB48416,GB51092,GB49235,GB44009,GB42930,GB46178,GB43561,GB49432,GB42052,GB41223,LOC102654944,GB45538,GB48681,GB46170,GB42720,GB42799
GB12020,GB48937,GB46597,GB42620,GB48007,GB45654,GB47114,GB40805,GB48524,GB51637,GB49351,GB44028,GB43100,GB46580,GB43628,GB49601,GB42054,GB41233,LOC102655232,GB45617,GB48980,GB46663,GB42722,GB42866
GB12060,GB49384,GB46678,GB42621,GB48046,GB45855,GB47339,GB40875,GB48589,GB51707,GB49411,GB44208,GB43104,GB46735,GB43637,GB49642,GB42210,GB41314,LOC102655354,GB45724,GB49343,GB46687,GB42759,GB42976
GB12093,GB49441,GB46956,GB42673,GB48167,GB45887,GB47496,GB40882,GB48923,GB51836,GB49489,GB44594,GB43192,GB46786,GB43639,GB49644,GB42304,GB41334,LOC102656583,GB45836,GB49598,GB46757,GB42857,GB43074
GB12094,GB49544,GB47048,GB42701,GB48234,GB45943,GB47503,GB41025,GB49428,GB51983,GB49704,GB44595,GB43210,GB46894,GB43735,GB49811,GB42359,GB41411,LOC107964260,GB45929,GB49959,GB46976,GB42897,GB43110
GB12155,GB49649,GB47718,GB42800,GB48355,GB46103,GB47791,GB41039,GB49468,GB52087,GB50146,GB44670,GB43390,GB46972,GB43826,GB50259,GB42361,GB41617,LOC107965599,GB45968,GB49970,GB46978,GB42898,GB43546
GB12181,GB49750,GB47957,GB42823,GB48655,GB46156,GB48022,GB41084,GB49933,GB52244,GB50802,GB44697,GB43479,GB47076,GB44012,GB50997,GB42469,GB41645,LOC113218558,GB45969,GB50087,GB47082,GB42907,GB43813
GB12212,GB50481,GB48172,GB42985,GB48709,GB46305,GB48029,GB41110,GB50038,GB52983,GB51282,GB44746,GB43481,GB47102,GB44044,GB51133,GB42637,GB41659,LOC113218871,GB46287,GB50106,GB47277,GB42909,GB43870
GB12243,GB50508,GB48643,GB43007,GB48967,GB46403,GB48346,GB41130,GB50370,GB53972,GB51720,GB44759,GB43483,GB47229,GB44096,GB51348,GB42780,GB41662,LOC113219391,GB46310,GB50455,GB47383,GB43127,GB43909
GB12262,GB50655,GB48692,GB43207,GB49022,GB46541,GB48935,GB41150,GB51113,GB54187,GB52417,GB44935,GB43485,GB47341,GB44144,GB51349,GB42850,GB41717,LOC410479,GB46312,GB50899,GB47429,GB43153,GB44021
GB12296,GB50735,GB48917,GB43208,GB49392,GB46630,GB49347,GB41151,GB51120,GB54610,GB52658,GB45050,GB43487,GB47409,GB44251,GB51649,GB42881,GB41728,,GB46338,GB51000,GB47470,GB43178,GB44075
GB12343,GB50737,GB49376,GB43358,GB49502,GB46763,GB49476,GB41152,GB51984,GB54718,GB53606,GB45156,GB43564,GB47461,GB44287,GB51956,GB42888,GB41761,,GB46429,GB51283,GB47806,GB43181,GB44091
GB12479,GB50883,GB49614,GB43360,GB49503,GB47202,GB49734,GB41162,GB52536,GB54928,GB53944,GB45157,GB43630,GB47596,GB44298,GB51966,GB42894,GB41768,,GB46661,GB51305,GB47819,GB43194,GB44121
GB12493,GB50888,GB49878,GB43575,GB49808,GB47248,GB49802,GB41207,GB52575,GB55106,GB54172,GB45249,GB43692,GB47746,GB44306,GB52079,GB42912,GB41770,,GB46725,GB51617,GB47918,GB43306,GB44186
GB12506,GB51174,GB50001,GB43580,GB49870,GB47270,GB49876,GB41226,GB52673,GB55455,GB54242,GB45270,GB43729,GB47820,GB44611,GB52091,GB43004,GB41792,,GB46946,GB51683,GB47967,GB43563,GB44187
GB12518,GB51227,GB50012,GB43617,GB50006,GB47669,GB50014,GB41227,GB52849,GB55557,GB54280,GB45314,GB43856,GB48103,GB44651,GB52352,GB43084,GB41801,,GB47041,GB51710,GB47975,GB43592,GB44262
GB12558,GB51383,GB50050,GB43737,GB50123,GB47694,GB50218,GB41242,GB52916,GB55773,GB54338,GB45352,GB44069,GB48266,GB44676,GB52407,GB43098,GB41829,,GB47278,GB51793,GB48161,GB43676,GB44279
GB12637,GB51571,GB50052,GB43823,GB50124,GB47890,GB50443,GB41269,GB53909,ID=r28351;codons=16%2C17%2C18%2C19;gbkey=tR;product=tR-Leu,GB54602,GB45360,GB44115,GB48347,GB44713,GB52589,GB43119,GB41840,,GB47303,GB51973,GB48173,GB43687,GB44315
GB12765,GB51650,GB50053,GB43868,GB50407,GB47971,GB50474,GB41270,GB54235,LOC100576885,GB54972,GB45382,GB44123,GB48619,GB44783,GB52825,GB43123,GB41898,,GB47814,GB52347,GB48552,GB43689,GB44365
GB12811,GB51696,GB50116,GB43879,GB50679,GB48066,GB50509,GB41330,GB54745,LOC100578559,GB55414,GB45478,GB44124,GB48832,GB44895,GB53231,GB43138,GB41900,,GB47849,GB53067,GB48603,GB43770,GB44532
GB12897,GB51698,GB50136,GB43963,GB50837,GB48134,GB50526,GB41338,GB54939,LOC102653773,GB55775,GB45551,GB44156,GB48932,GB44931,GB53517,GB43198,GB41904,,GB48124,GB53080,GB49332,GB43837,GB44772
GB12898,GB51760,GB50138,GB44132,GB50974,GB48136,GB50548,GB41412,GB55148,LOC102653938,GB55811,GB45627,GB44184,GB48951,GB45218,GB53715,GB43258,GB41922,,GB48224,GB53088,GB49611,GB43913,GB44899
GB12942,GB52414,GB50180,GB44457,GB51059,GB48196,GB50572,GB41486,GB55279,LOC102654530,GB55940,GB45664,GB44280,GB49096,GB45224,GB53910,GB43309,GB41945,,GB48301,GB53166,GB49622,GB44049,GB44941
GB12972,GB52642,GB50225,GB44564,GB51095,GB48238,GB50661,GB41520,GB55417,LOC102655618,LOC100578357,GB45683,GB44346,GB49146,GB45256,GB54158,GB43401,GB42000,,GB48321,GB54448,GB49684,GB44163,GB44972
GB13012,GB53028,GB50262,GB44709,GB51214,GB48492,GB50668,GB41525,GB55457,LOC102655765,LOC102653596,GB45695,GB44355,GB49459,GB45337,GB54291,GB43416,GB42016,,GB48382,GB54753,GB49897,GB44250,GB44974
GB13072,GB53332,GB50889,GB44824,GB51302,GB48511,GB50763,GB41545,GB55985,LOC102655994,LOC102654231,GB45807,GB44410,GB49652,GB45381,GB54798,GB43534,GB42028,,GB48438,GB54997,GB49947,GB44327,GB45009
GB13684,GB53371,GB50931,GB44982,GB51479,GB48539,GB50824,GB41624,LOC100576346,LOC102656142,LOC102654354,GB45822,GB44427,GB49661,GB45737,GB55359,GB43543,GB42039,,GB48557,GB55297,GB50037,GB44436,GB45029
GB13692,GB53422,GB50932,GB44983,GB51482,GB48573,GB50880,GB41631,LOC107965022,LOC102656291,LOC102654842,GB46173,GB44450,GB49919,GB45777,GB55594,GB43621,GB42139,,GB48861,GB55373,GB50159,GB44483,GB45216
GB13746,GB53755,GB50933,GB44999,GB51494,GB49078,GB51029,GB41663,LOC113218807,LOC102656384,LOC102655396,GB46206,GB44515,GB50130,GB45872,GB55896,GB43677,GB42145,,GB48993,GB55522,GB50297,GB44486,GB45564
GB13748,GB53933,GB51223,GB45019,GB51653,GB49124,GB51391,GB41677,LOC726875,LOC102656620,LOC102655614,GB46344,GB44519,GB50173,GB45945,LOC100577407,GB43709,GB42188,,GB49067,GB55635,GB50686,GB44551,GB45688
GB13806,GB54486,GB51299,GB45023,GB51787,GB49237,GB51697,GB41698,,LOC107964405,LOC102655983,GB46586,GB44572,GB50359,GB46194,LOC100577743,GB43739,GB42194,,GB49147,GB55707,GB51346,GB44552,GB45733
GB13886,GB54890,GB51339,GB45147,GB51979,GB49268,GB51818,GB41756,,LOC107964633,LOC102656502,GB46610,GB44573,GB50364,GB46201,LOC100578104,GB43751,GB42224,,GB49328,LOC100576585,GB51419,GB44557,GB45905
GB13929,GB54941,GB51373,GB45148,GB52184,GB49401,GB51820,GB41846,,LOC107965310,LOC107964660,GB46728,GB44688,GB50369,GB46213,LOC102654685,GB43814,GB42230,,GB49361,LOC100578436,GB51582,GB44558,GB45919
GB14026,GB55205,GB51487,GB45303,GB52239,GB49504,GB52039,GB41873,,LOC107965746,LOC107965532,GB46878,GB44901,GB50372,GB46449,LOC102654992,GB44002,GB42233,,GB49363,LOC102653642,GB51615,GB44664,GB45937
GB14115,GB55206,GB51515,GB45406,GB52763,GB49552,GB52073,GB41907,,LOC113218559,LOC727652,GB46929,GB44909,GB50459,GB46889,LOC102656822,GB44052,GB42236,,GB49525,LOC102653894,GB51627,GB44684,GB45942
GB14128,GB55389,GB51566,GB45408,GB52912,GB49626,GB52158,GB41946,,LOC113218580,,GB47030,GB44927,GB50662,GB46895,LOC107964885,GB44092,GB42277,,GB49688,LOC102656214,GB51851,GB44686,GB46128
GB14243,GB55406,GB51613,GB45431,GB53064,GB49708,GB52205,GB42018,,LOC113218594,,GB47092,GB44970,GB51360,GB46912,LOC107965826,GB44120,GB42301,,GB49751,LOC102656549,GB51903,GB44692,GB46266
