BP_5day,BP_15day,NvF_whitfield,Microarray Background
,,GB42871,GB40204
,,GB42885,GB40204
,,GB42889,GB40206
,,GB42925,GB40206
,,GB42929,GB40207
,,GB42944,GB40207
,,GB42960,GB40208
,,GB42964,GB40208
,,GB43015,GB40209
,,GB43022,GB40209
,,GB43035,GB40217
,,GB43054,GB40217
,,GB43081,GB40222
,,GB43093,GB40222
,,GB43103,GB40226
,,GB43115,GB40226
,,GB43134,GB40227
,,GB43157,GB40227
,,GB43173,GB40228
,,GB43205,GB40228
,,GB43208,GB40229
,,GB43223,GB40229
,,GB43225,GB40231
,,GB43231,GB40231
,,GB43248,GB40232
,,GB43269,GB40232
,,GB43280,GB40234
,,GB43292,GB40234
,,GB43301,GB40237
,,GB43304,GB40237
,,GB43353,GB40238
,,GB43362,GB40238
,,GB43368,GB40239
,,GB43376,GB40239
,,GB43379,GB40240
,,GB43390,GB40240
,,GB43419,GB40243
,,GB43463,GB40243
,,GB43464,GB40247
,,GB43510,GB40247
,,GB43523,GB40248
,,GB43537,GB40248
,,GB43546,GB40248
,,GB43548,GB40248
,,GB43549,GB40249
,,GB43558,GB40249
,,GB43566,GB40251
,,GB43573,GB40251
,,GB43630,GB40254
,,GB43704,GB40254
,,GB43732,GB40259
,,GB43738,GB40259
,,GB43770,GB40261
,,GB43788,GB40261
,,GB43814,GB40262
,,GB43824,GB40262
,,GB43826,GB40267
,,GB43844,GB40267
,,GB43847,GB40268
,,GB43860,GB40268
,,GB43861,GB40269
,,GB43885,GB40269
,,GB43891,GB40270
,,GB43897,GB40270
,,GB43903,GB40273
,,GB43908,GB40273
,,GB43942,GB40274
,,GB43980,GB40274
,,GB43999,GB40276
,,GB44010,GB40276
,,GB44012,GB40278
,,GB44033,GB40278
,,GB44054,GB40280
,,GB44056,GB40280
,,GB44084,GB40282
,,GB44093,GB40282
,,GB44115,GB40283
,,GB44118,GB40283
,,GB44121,GB40284
,,GB44124,GB40284
,,GB44132,GB40287
,,GB44141,GB40287
,,GB44166,GB40288
,,GB44222,GB40288
,,GB44224,GB40289
,,GB44225,GB40289
,,GB44316,GB40296
,,GB44319,GB40296
,,GB44337,GB40297
,,GB44340,GB40297
,,GB44351,GB40299
,,GB44412,GB40299
,,GB44417,GB40299
,,GB44430,GB40299
,,GB44440,GB40301
,,GB44461,GB40301
,,GB44469,GB40302
,,GB44485,GB40302
,,GB44509,GB40303
,,GB44512,GB40303
,,GB44520,GB40305
,,GB44533,GB40305
,,GB44544,GB40307
,,GB44564,GB40307
,,GB44571,GB40308
,,GB44576,GB40308
,,GB44580,GB40309
,,GB44586,GB40309
,,GB44597,GB40310
,,GB44609,GB40310
,,GB44612,GB40312
,,GB44650,GB40312
,,GB44653,GB40316
,,GB44654,GB40316
,,GB44660,GB40318
,,GB44670,GB40318
,,GB44671,GB40319
,,GB44702,GB40319
,,GB44705,GB40320
,,GB44744,GB40320
,,GB44763,GB40326
,,GB44764,GB40326
,,GB44765,GB40327
,,GB44766,GB40327
,,GB44771,GB40331
